"AUDIOFILE"                ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/bear.mp3"         ,"bear"                               ,"C2"   ,"szül"
"/st/snw/conceive.mp3"     ,"conceive"                           ,"C2"   ,"teherbe esik"
"/st/snw/indulge.mp3"      ,"indulge"                            ,"C2"   ,"elkényeztet vkit"
"/st/snw/blood.mp3"        ,"blood"                              ,"C2"   ,"vér, származás"
"/st/snw/custody.mp3"      ,"custody"                            ,"C2"   ,"felügyeleti jog"
"/st/snw/descendant.mp3"   ,"descendant"                         ,"C2"   ,"leszármazott"
"/st/snw/heir.mp3"         ,"heir"                               ,"C2"   ,"örökös"
"/st/snw/labour.mp3"       ,"labour"                             ,"C2"   ,"vajúdás"
"/st/snw/offspring.mp3"    ,"offspring"                          ,"C2"   ,"utód, ivadék"
"/st/snw/orphan.mp3"       ,"orphan"                             ,"C2"   ,"árva"
"/st/snw/sibling.mp3"      ,"sibling"                            ,"C2"   ,"testvér"
"/st/snw/side.mp3"         ,"side"                               ,"C2"   ,"oldal, oldalág"
"/st/snw/spouse.mp3"       ,"spouse"                             ,"C2"   ,"házastárs"
"/st/snw/distant.mp3"      ,"distant"                            ,"C2"   ,"távoli"
"/st/snk/r491.mp3"         ,"be descended from sb/sth"           ,"C2"   ,"származik  vkitől/vmitől"
"/st/snk/r136.mp3"         ,"a broken home"                      ,"C2"   ,"csonka család"
"/st/snk/r1777.mp3"        ,"leave someone to their own devices" ,"C2"   ,"sorsára hagy"
"/st/snk/r2346.mp3"        ,"run wild"                           ,"C2"   ,"felügyelet nélkül/szabadon kóborol"
"/st/snk/r2885.mp3"        ,"tie the knot"                       ,"C2"   ,"házasságot kötnek"
"/st/snk/r3076.mp3"        ,"your own flesh and blood"           ,"C2"   ,"saját vére/családja"
"/st/snw/bind.mp3"         ,"bind"                               ,"C2"   ,"összeköt"
"/st/snw/entrance.mp3"     ,"entrance"                           ,"C2"   ,"megjelenés"
"/st/snw/gang.mp3"         ,"gang"                               ,"C2"   ,"baráti társaság"
"/st/snw/introvert.mp3"    ,"introvert"                          ,"C2"   ,"introvertált, befelé élő ember"
"/st/snw/isolation.mp3"    ,"isolation"                          ,"C2"   ,"elszigeteltség, egyedüllét, magányosság"
"/st/snw/peer_pressure.mp3","peer pressure"                      ,"C2"   ,"az egyen korúak befolyása"
"/st/snw/reserved.mp3"     ,"reserved"                           ,"C2"   ,"tartózkodó"
"/st/snw/solitary.mp3"     ,"solitary"                           ,"C2"   ,"magányos"
"/st/snw/solitary.mp3"     ,"solitary"                           ,"C2"   ,"magányos"
"/st/snw/withdrawn.mp3"    ,"withdrawn"                          ,"C2"   ,"visszahúzódó"
"/st/snk/r365.mp3"         ,"associate with sb"                  ,"C2"   ,"összejár  vkivel"
"/st/snk/r1058.mp3"        ,"drift apart"                        ,"C2"   ,"eltávolodik egymástól  vkivel"
"/st/snk/r581.mp3"         ,"be on good/bad/friendly, etc. terms","C2"   ,"jó/rossz/baráti/stb. kapcsolatban van"
"/st/snk/r961.mp3"         ,"cross sb's path"                    ,"C2"   ,"keresztezik egymás útját"
"/st/snk/r1108.mp3"        ,"eye contact"                        ,"C2"   ,"szemkontaktus"
"/st/snk/r1273.mp3"        ,"get off/start on the wrong foot"    ,"C2"   ,"rosszul kezd"
"/st/snk/r2123.mp3"        ,"outstay/overstay your welcome"      ,"C2"   ,"túl sokáig marad"
"/st/snk/r2887.mp3"        ,"ties"                               ,"C2"   ,"kötelék, kapcsolat"
"/st/snk/r3006.mp3"        ,"where you stand (with sb)"          ,"C2"   ,"hol/hogy áll"
"/st/snw/bond.mp3"         ,"bond"                               ,"C2"   ,"kötődik vkihez"
"/st/snw/click.mp3"        ,"click"                              ,"C2"   ,"rögtön összebarátkoznak"
"/st/snw/compatible.mp3"   ,"compatible"                         ,"C2"   ,"összeillő, összeférő vkivel"
"/st/snw/inseparable.mp3"  ,"inseparable"                        ,"C2"   ,"elválaszthatatlan"
"/st/snw/intimate.mp3"     ,"intimate"                           ,"C2"   ,"közeli, bizalmas"
"/st/snk/r535.mp3"         ,"be in sb's good/bad books"          ,"C2"   ,"jó/rossz  vkinél"
"/st/snk/r585.mp3"         ,"be on the same wavelength"          ,"C2"   ,"azonos hullámhosszon vannak  vkinél"
"/st/snk/r1159.mp3"        ,"find common ground"                 ,"C2"   ,"közös nevezőt talál  vkinél"
"/st/snk/r1365.mp3"        ,"go out of your way to do sth"       ,"C2"   ,"megerőlteti magát, töri magát, strapálja magát  vkinél"
"/st/snk/r1914.mp3"        ,"mean well"                          ,"C2"   ,"jót akar  vkinél"
