"AUDIOFILE"                  ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/belong.mp3"         ,"belong"                             ,"B2"   ,"tartozik vki vhova"
"/st/snw/experiment_verb.mp3","experiment"                         ,"B2"   ,"kísérletezik vmivel"
"/st/snw/learn.mp3"          ,"learn"                              ,"B2"   ,"okul, tanul, megtanul"
"/st/snw/rule.mp3"           ,"rule"                               ,"B2"   ,"ural vmit/vkit, kormányoz vkit/vmit"
"/st/snw/settle.mp3"         ,"settle"                             ,"B2"   ,"letelepszik vhol"
"/st/snw/fate.mp3"           ,"fate"                               ,"B2"   ,"sors"
"/st/snw/hell.mp3"           ,"hell"                               ,"B2"   ,"pokol"
"/st/snw/identity.mp3"       ,"identity"                           ,"B2"   ,"azonosság, identitás"
"/st/snw/independence.mp3"   ,"independence"                       ,"B2"   ,"függetlenség"
"/st/snw/lesson.mp3"         ,"lesson"                             ,"B2"   ,"tanulság"
"/st/snw/lifestyle.mp3"      ,"lifestyle"                          ,"B2"   ,"életmód, életstílus"
"/st/snw/mission.mp3"        ,"mission"                            ,"B2"   ,"küldetés"
"/st/snw/privacy.mp3"        ,"privacy"                            ,"B2"   ,"magánélet;  egyedüllét"
"/st/snw/retirement.mp3"     ,"retirement"                         ,"B2"   ,"nyugdíjas élet"
"/st/snw/taste.mp3"          ,"taste"                              ,"B2"   ,"ízelítő vmiből"
"/st/snw/adventurous.mp3"    ,"adventurous"                        ,"B2"   ,"kalandvágyó, vállalkozó szellemű; kalandos"
"/st/snw/dependent.mp3"      ,"dependent"                          ,"B2"   ,"függő"
"/st/snw/innocent.mp3"       ,"innocent"                           ,"B2"   ,"ártatlan, tapasztalatlan"
"/st/snw/retired.mp3"        ,"retired"                            ,"B2"   ,"nyugdíjas"
"/st/snw/secure.mp3"         ,"secure"                             ,"B2"   ,"biztonságos"
"/st/snw/privately.mp3"      ,"privately"                          ,"B2"   ,"bizalmasan; magánúton, magán-"
"/st/snk/r996.mp3"           ,"depend on/upon sb/sth"              ,"B2"   ,"függ , rá van utalva  vkitől/vmitől vkire/vmire   vmit"
"/st/snk/r1372.mp3"          ,"go through sth"                     ,"B2"   ,"keresztülmegy , átél  vkitől/vmitől vkire/vmire   vmit"
"/st/snk/r2334.mp3"          ,"run away"                           ,"B2"   ,"elszökik  vkitől/vmitől vkire/vmire   vmit"
"/st/snk/r2483.mp3"          ,"soak up ↔ sth"                      ,"B2"   ,"magába szív, beszív , átitatja magát  vkitől/vmitől vkire/vmire   vmit"
"/st/snk/r2937.mp3"          ,"try out ↔ sth"                      ,"B2"   ,"kipróbál  vkitől/vmitől vkire/vmire   vmit"
"/st/snk/r472.mp3"           ,"be based at/in, etc."               ,"B2"   ,"helyezi a tevékenysége központját  vhova  vminek    vki"
"/st/snk/r501.mp3"           ,"be exposed to sth"                  ,"B2"   ,"ki van téve  vhova  vminek    vki"
"/st/snk/r1573.mp3"          ,"in private"                         ,"B2"   ,"bizalmasan, bizalmas körben  vhova  vminek    vki"
"/st/snk/r1759.mp3"          ,"lead a busy/normal/quiet, etc. life","B2"   ,"elfoglalt/normális/nyugodt életet él  vhova  vminek    vki"
"/st/snk/r1770.mp3"          ,"learn your lesson"                  ,"B2"   ,"jó lecke számára  vhova  vminek    vki"
"/st/snk/r2729.mp3"          ,"the fashion/music/club, etc. scene" ,"B2"   ,"divat/zenei/társasági/stb. élet/világ  vhova  vminek    vki"
"/st/snk/r2979.mp3"          ,"values"                             ,"B2"   ,"értékek  vhova  vminek    vki"
"/st/snw/fix.mp3"            ,"fix"                                ,"B2"   ,"megállapít, kitűz"
"/st/snw/lose.mp3"           ,"lose"                               ,"B2"   ,"veszteget, elveszteget ; elveszít ;"
"/st/snw/move.mp3"           ,"move"                               ,"B2"   ,"áthelyez"
"/st/snw/schedule.mp3"       ,"schedule"                           ,"B2"   ,"beütemez, tervez, betervez"
"/st/snw/confirmation.mp3"   ,"confirmation"                       ,"B2"   ,"visszaigazolás, megerősítés"
"/st/snw/deadline.mp3"       ,"deadline"                           ,"B2"   ,"határidő"
"/st/snw/pause.mp3"          ,"pause"                              ,"B2"   ,"szünet, megszakítás"
"/st/snw/schedule.mp3"       ,"schedule"                           ,"B2"   ,"ütemterv, munkaterv, tervezet"
"/st/snw/timetable.mp3"      ,"timetable"                          ,"B2"   ,"időbeosztás"
"/st/snw/timing.mp3"         ,"timing"                             ,"B2"   ,"időzítés, ütemezés, beütemezés"
"/st/snw/wait.mp3"           ,"wait"                               ,"B2"   ,"várakozás"
"/st/snw/inconvenient.mp3"   ,"inconvenient"                       ,"B2"   ,"alkalmatlan"
"/st/snw/scheduled.mp3"      ,"scheduled"                          ,"B2"   ,"tervezett, betervezett, beütemezett"
"/st/snk/r806.mp3"           ,"call off ↔ sth"                     ,"B2"   ,"lemond, töröl  vmit    vmire"
"/st/snk/r844.mp3"           ,"catch up on/with sth"               ,"B2"   ,"lemaradást behoz  vmit    vmire"
"/st/snk/r1284.mp3"          ,"get round to sth"                   ,"B2"   ,"időt talál  vmit    vmire"
"/st/snk/r408.mp3"           ,"at your convenience"                ,"B2"   ,"amikor önnek megfelel"
"/st/snw/adapt.mp3"          ,"adapt"                              ,"B2"   ,"alkalmazkodik vmihez, beilleszkedik vhova"
"/st/snw/adjust.mp3"         ,"adjust"                             ,"B2"   ,"hozzászokik vmihez, alkalmazkodik vmihez"
"/st/snw/occupy.mp3"         ,"occupy"                             ,"B2"   ,"elfoglal vkit vmi"
"/st/snw/commitment.mp3"     ,"commitment"                         ,"B2"   ,"kötelezettség"
"/st/snw/flexibility.mp3"    ,"flexibility"                        ,"B2"   ,"rugalmasság"
"/st/snw/habit.mp3"          ,"habit"                              ,"B2"   ,"szokás"
"/st/snw/smoker.mp3"         ,"smoker"                             ,"B2"   ,"dohányos"
"/st/snw/non-smoking.mp3"    ,"non-smoking"                        ,"B2"   ,"nemdohányzó"
"/st/snk/r2428.mp3"          ,"settle down"                        ,"B2"   ,"berendezkedik/beilleszkedik  vhova"
"/st/snk/r2468.mp3"          ,"slow down"                          ,"B2"   ,"lelassít  vhova"
