"AUDIOFILE"                  ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/collaborate.mp3"    ,"collaborate"                        ,"C1"   ,"együttműködik"
"/st/snw/comply.mp3"         ,"comply"                             ,"C1"   ,"eleget tesz"
"/st/snw/deliver.mp3"        ,"deliver"                            ,"C1"   ,"teljesít"
"/st/snw/oblige.mp3"         ,"oblige"                             ,"C1"   ,"engedelmeskedik, megtesz vmit vkinek; kötelez"
"/st/snw/undertake.mp3"      ,"undertake"                          ,"C1"   ,"vállalkozik vmire"
"/st/snw/volunteer.mp3"      ,"volunteer"                          ,"C1"   ,"önként jelentkezik/ajánlkozik"
"/st/snw/ally.mp3"           ,"ally"                               ,"C1"   ,"szövetséges"
"/st/snw/collaboration.mp3"  ,"collaboration"                      ,"C1"   ,"együttműködés"
"/st/snw/consent.mp3"        ,"consent"                            ,"C1"   ,"beleegyezés"
"/st/snw/interaction.mp3"    ,"interaction"                        ,"C1"   ,"közös tevékenység, együttműködés; kölcsönhatás, interakció"
"/st/snw/participant.mp3"    ,"participant"                        ,"C1"   ,"résztvevő"
"/st/snw/readiness.mp3"      ,"readiness"                          ,"C1"   ,"készség, készségesség, szolgálatkészség"
"/st/snw/solidarity.mp3"     ,"solidarity"                         ,"C1"   ,"szolidaritás"
"/st/snw/interactive.mp3"    ,"interactive"                        ,"C1"   ,"interaktív, együttműködésen alapuló"
"/st/snw/voluntary.mp3"      ,"voluntary"                          ,"C1"   ,"önkéntes"
"/st/snw/jointly.mp3"        ,"jointly"                            ,"C1"   ,"közösen, együttesen"
"/st/snk/r850.mp3"           ,"cater to sb/sth"                    ,"C1"   ,"kiszolgál/kielégít  vkit/vmit"
"/st/snk/r2627.mp3"          ,"take on ↔ sth"                      ,"C1"   ,"vállal, elvállal  vkit/vmit"
"/st/snk/r1522.mp3"          ,"in association with"                ,"C1"   ,"szövetségben , együttesen  vkivel"
"/st/snw/dismiss.mp3"        ,"dismiss"                            ,"C1"   ,"elvet"
"/st/snw/dismissal.mp3"      ,"dismissal"                          ,"C1"   ,"elutasítás"
"/st/snw/opposition.mp3"     ,"opposition"                         ,"C1"   ,"ellenzés; ellenkezés"
"/st/snw/refusal.mp3"        ,"refusal"                            ,"C1"   ,"visszautasítás"
"/st/snw/unwillingness.mp3"  ,"unwillingness"                      ,"C1"   ,"vonakodás"
"/st/snw/reluctant.mp3"      ,"reluctant"                          ,"C1"   ,"vonakodó"
"/st/snw/reluctantly.mp3"    ,"reluctantly"                        ,"C1"   ,"vonakodva"
"/st/snw/unwillingly.mp3"    ,"unwillingly"                        ,"C1"   ,"vonakodva"
"/st/snk/r490.mp3"           ,"be dead (set) against sth/doing sth","C1"   ,"teljesen ellene van  vminek  vmi vmit"
"/st/snk/r588.mp3"           ,"be opposed to sth"                  ,"C1"   ,"ellen van, ellenez  vminek  vmi vmit"
"/st/snw/aid.mp3"            ,"aid"                                ,"C1"   ,"segít, elősegít"
"/st/snw/facilitate.mp3"     ,"facilitate"                         ,"C1"   ,"elősegít"
"/st/snw/interfere.mp3"      ,"interfere"                          ,"C1"   ,"megzavar vmit"
"/st/snw/promote.mp3"        ,"promote"                            ,"C1"   ,"elősegít, támogat"
