"AUDIOFILE"                    ,"FOREIGNWORD"                ,"LEVEL","NATIVEWORD"
"/st/snw/interpret.mp3"        ,"interpret"                  ,"B2"   ,"tolmácsol"
"/st/snw/stress.mp3"           ,"stress"                     ,"B2"   ,"hangsúlyoz"
"/st/snw/use_verb.mp3"         ,"use"                        ,"B2"   ,"használ"
"/st/snw/definition.mp3"       ,"definition"                 ,"B2"   ,"meghatározás, definíció"
"/st/snw/expression.mp3"       ,"expression"                 ,"B2"   ,"kifejezés"
"/st/snw/first_language.mp3"   ,"first language"             ,"B2"   ,"anyanyelv"
"/st/snw/fluency.mp3"          ,"fluency"                    ,"B2"   ,"gördülékenység"
"/st/snw/idiom.mp3"            ,"idiom"                      ,"B2"   ,"kifejezés, idióma"
"/st/snw/native_speaker.mp3"   ,"native speaker"             ,"B2"   ,"anyanyelvi beszélő"
"/st/snw/sense.mp3"            ,"sense"                      ,"B2"   ,"értelem, vminek az értelme"
"/st/snw/stress.mp3"           ,"stress"                     ,"B2"   ,"hangsúly"
"/st/snw/term.mp3"             ,"term"                       ,"B2"   ,"kifejezés, szakkifejezés"
"/st/snw/use_noun.mp3"         ,"use"                        ,"B2"   ,"használat"
"/st/snw/fluent.mp3"           ,"fluent"                     ,"B2"   ,"folyékony"
"/st/snw/fluent.mp3"           ,"fluent"                     ,"B2"   ,"gördülékeny"
"/st/snw/short.mp3"            ,"short"                      ,"B2"   ,"rövidítése vminek"
"/st/snw/fluently.mp3"         ,"fluently"                   ,"B2"   ,"folyékonyan"
"/st/snw/literally.mp3"        ,"literally"                  ,"B2"   ,"szó szerint; szó szoros értelmében"
"/st/snk/r2527.mp3"            ,"stand for sth"              ,"B2"   ,"rövidítése  vminek"
"/st/snk/r1932.mp3"            ,"mother tongue"              ,"B2"   ,"anyanyelv"
"/st/snk/r3075.mp3"            ,"your native language/tongue","B2"   ,"az anyanyelve"
"/st/snw/take.mp3"             ,"take"                       ,"B2"   ,"vonz vmit"
"/st/snw/clause.mp3"           ,"clause"                     ,"B2"   ,"tagmondat"
"/st/snw/collocation.mp3"      ,"collocation"                ,"B2"   ,"szókapcsolat, állandósult szószerkezet"
"/st/snw/conjunction.mp3"      ,"conjunction"                ,"B2"   ,"kötőszó"
"/st/snw/construction.mp3"     ,"construction"               ,"B2"   ,"szerkezet"
"/st/snw/determiner.mp3"       ,"determiner"                 ,"B2"   ,"determináns"
"/st/snw/gender.mp3"           ,"gender"                     ,"B2"   ,"nem"
"/st/snw/imperative.mp3"       ,"imperative"                 ,"B2"   ,"felszólító mód"
"/st/snw/prefix.mp3"           ,"prefix"                     ,"B2"   ,"előtag"
"/st/snw/proper_noun.mp3"      ,"proper noun"                ,"B2"   ,"tulajdonnév"
"/st/snw/suffix.mp3"           ,"suffix"                     ,"B2"   ,"toldalék"
"/st/snw/syllable.mp3"         ,"syllable"                   ,"B2"   ,"szótag"
"/st/snw/the_first_person.mp3" ,"the first person"           ,"B2"   ,"első személy"
"/st/snw/the_second_person.mp3","the second person"          ,"B2"   ,"második személy"
"/st/snw/the_third_person.mp3" ,"the third person"           ,"B2"   ,"harmadik személy"
"/st/snw/continuous.mp3"       ,"continuous"                 ,"B2"   ,"folyamatos"
"/st/snw/intransitive.mp3"     ,"intransitive"               ,"B2"   ,"tárgyatlan"
"/st/snw/transitive.mp3"       ,"transitive"                 ,"B2"   ,"tárgyas"
"/st/snk/r2798.mp3"            ,"the perfect (tense)"        ,"B2"   ,"befejezett"
"/st/snw/accent.mp3"           ,"accent"                     ,"B2"   ,"ékezet"
"/st/snw/apostrophe.mp3"       ,"apostrophe"                 ,"B2"   ,"hiányjel, aposztróf"
"/st/snw/bracket.mp3"          ,"bracket"                    ,"B2"   ,"zárójel"
"/st/snw/colon.mp3"            ,"colon"                      ,"B2"   ,"kettőspont"
"/st/snw/dash.mp3"             ,"dash"                       ,"B2"   ,"gondolatjel"
"/st/snw/dot.mp3"              ,"dot"                        ,"B2"   ,"pont; pötty"
"/st/snw/exclamation_mark.mp3" ,"exclamation mark"           ,"B2"   ,"felkiáltójel"
"/st/snw/hyphen.mp3"           ,"hyphen"                     ,"B2"   ,"kötőjel"
"/st/snw/inverted_commas.mp3"  ,"inverted commas"            ,"B2"   ,"idézőjel, idézőjelek"
"/st/snw/semicolon.mp3"        ,"semicolon"                  ,"B2"   ,"pontosvessző"
"/st/snw/slash.mp3"            ,"slash"                      ,"B2"   ,"perjel"
"/st/snw/alphabetical.mp3"     ,"alphabetical"               ,"B2"   ,"betűrendes, ábécérendbeli"
