"AUDIOFILE"                 ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/collect.mp3"       ,"collect"                             ,"A2"   ,"gyűjt vmit"
"/st/snw/do.mp3"            ,"do"                                  ,"A2"   ,"vmilyen tevékenységet folytat/űz"
"/st/snw/join.mp3"          ,"join"                                ,"A2"   ,"belép"
"/st/snw/teach.mp3"         ,"teach"                               ,"A2"   ,"megtanít"
"/st/snw/activity.mp3"      ,"activity"                            ,"A2"   ,""
"/st/snw/album.mp3"         ,"album"                               ,"A2"   ,"album"
"/st/snw/beginner.mp3"      ,"beginner"                            ,"A2"   ,"kezdő"
"/st/snw/club.mp3"          ,"club"                                ,"A2"   ,"klub, egyesület"
"/st/snw/digital_camera.mp3","digital camera"                      ,"A2"   ,"digitális fényképezőgép/kamera"
"/st/snw/drawing.mp3"       ,"drawing"                             ,"A2"   ,"rajz; rajzolás"
"/st/snw/fishing.mp3"       ,"fishing"                             ,"A2"   ,"halászat; horgászat, horgászás"
"/st/snw/hobby.mp3"         ,"hobby"                               ,"A2"   ,"hobbi"
"/st/snw/member.mp3"        ,"member"                              ,"A2"   ,"tag"
"/st/snw/model.mp3"         ,"model"                               ,"A2"   ,"modell, makett"
"/st/snw/photograph.mp3"    ,"photograph"                          ,"A2"   ,"fénykép, felvétel"
"/st/snw/photographer.mp3"  ,"photographer"                        ,"A2"   ,"fényképész"
"/st/snw/photography.mp3"   ,"photography"                         ,"A2"   ,"fényképezés; fényképészet"
"/st/snw/practice.mp3"      ,"practice"                            ,"A2"   ,"gyakorlat; gyakorlás"
"/st/snk/r146.mp3"          ,"a dance/language/riding, etc. school","A2"   ,"iskola"
"/st/snw/board.mp3"         ,"board"                               ,"A2"   ,"tábla, játéktábla"
"/st/snw/board_game.mp3"    ,"board game"                          ,"A2"   ,"táblajáték, táblán játszott társasjáték"
"/st/snw/card.mp3"          ,"card"                                ,"A2"   ,"kártya, játékkártya"
"/st/snw/chess.mp3"         ,"chess"                               ,"A2"   ,"sakk"
"/st/snw/kite.mp3"          ,"kite"                                ,"A2"   ,"sárkány, papírsárkány"
"/st/snw/puzzle.mp3"        ,"puzzle"                              ,"A2"   ,"rejtvény, rejtvényjáték"
"/st/snw/quiz.mp3"          ,"quiz"                                ,"A2"   ,"vetélkedő; kvíz"
"/st/snw/toy.mp3"           ,"toy"                                 ,"A2"   ,"játék, játékszer"
"/st/snw/video_game.mp3"    ,"video game"                          ,"A2"   ,"videojáték"
"/st/snw/camp.mp3"          ,"camp"                                ,"A2"   ,"táborozik, kempingezik"
"/st/snw/delay.mp3"         ,"delay"                               ,"A2"   ,"halaszt, elhalaszt"
"/st/snw/see.mp3"           ,"see"                                 ,"A2"   ,"lát, megnéz"
"/st/snw/spend.mp3"         ,"spend"                               ,"A2"   ,"tölt"
"/st/snw/spend.mp3"         ,"spend"                               ,"A2"   ,"költ"
"/st/snw/stay.mp3"          ,"stay"                                ,"A2"   ,"lakik, megszáll, marad vhol"
"/st/snw/take.mp3"          ,"take"                                ,"A2"   ,"igényel"
"/st/snw/adventure.mp3"     ,"adventure"                           ,"A2"   ,"kaland"
"/st/snw/appointment.mp3"   ,"appointment"                         ,"A2"   ,""
"/st/snw/break.mp3"         ,"break"                               ,"A2"   ,""
"/st/snw/calendar.mp3"      ,"calendar"                            ,"A2"   ,"naptár"
"/st/snw/camping.mp3"       ,"camping"                             ,"A2"   ,"kempingezés"
"/st/snw/card.mp3"          ,"card"                                ,"A2"   ,"képeslap, üdvözlőkártya"
"/st/snw/clown.mp3"         ,"clown"                               ,"A2"   ,"bohóc"
"/st/snw/dance.mp3"         ,"dance"                               ,"A2"   ,"bál, táncest"
"/st/snw/dancer.mp3"        ,"dancer"                              ,"A2"   ,"táncos, táncosnő"
"/st/snw/diary.mp3"         ,"diary"                               ,"A2"   ,"napló"
"/st/snw/diary.mp3"         ,"diary"                               ,"A2"   ,"határidőnapló"
"/st/snw/disco.mp3"         ,"disco"                               ,"A2"   ,"diszkó"
"/st/snw/gift.mp3"          ,"gift"                                ,"A2"   ,"ajándék"
"/st/snw/guide.mp3"         ,"guide"                               ,"A2"   ,"idegenvezető"
"/st/snw/guidebook.mp3"     ,"guidebook"                           ,"A2"   ,"útikalauz, útikönyv"
"/st/snw/magic.mp3"         ,"magic"                               ,"A2"   ,"bűvészmutatvány, bűvészkedés"
"/st/snw/office.mp3"        ,"office"                              ,"A2"   ,"-iroda"
"/st/snw/postcard.mp3"      ,"postcard"                            ,"A2"   ,"levelezőlap"
"/st/snw/present_noun.mp3"  ,"present"                             ,"A2"   ,"ajándék"
"/st/snw/pub.mp3"           ,"pub"                                 ,"A2"   ,"söröző, kocsma"
"/st/snw/rest.mp3"          ,"rest"                                ,"A2"   ,"pihenés"
"/st/snw/show.mp3"          ,"show"                                ,"A2"   ,"show-műsor, előadás"
"/st/snw/sightseeing.mp3"   ,"sightseeing"                         ,"A2"   ,"városnézés"
"/st/snw/tour_guide.mp3"    ,"tour guide"                          ,"A2"   ,"idegenvezető; túravezető"
"/st/snw/tourist.mp3"       ,"tourist"                             ,"A2"   ,"turista"
"/st/snw/view.mp3"          ,"view"                                ,"A2"   ,"látvány, kilátás"
"/st/snw/busy.mp3"          ,"busy"                                ,"A2"   ,"elfoglalt"
"/st/snw/busy.mp3"          ,"busy"                                ,"A2"   ,"mozgalmas, zsúfolt"
"/st/snw/free.mp3"          ,"free"                                ,"A2"   ,"szabad"
