"AUDIOFILE"                   ,"FOREIGNWORD"                           ,"LEVEL","NATIVEWORD"
"/st/snw/affect.mp3"          ,"affect"                                ,"B2"   ,"hatással van vkire"
"/st/snw/inspire.mp3"         ,"inspire"                               ,"B2"   ,"vmilyen érzést/gondolatot ébreszt vkiben"
"/st/snw/move.mp3"            ,"move"                                  ,"B2"   ,"meghat vkit"
"/st/snw/touch.mp3"           ,"touch"                                 ,"B2"   ,"megérint, meghat, megindít"
"/st/snw/emotion.mp3"         ,"emotion"                               ,"B2"   ,"érzelem"
"/st/snw/passion.mp3"         ,"passion"                               ,"B2"   ,"szenvedély; indulat"
"/st/snw/spirit.mp3"          ,"spirit"                                ,"B2"   ,"szellem, hangulat; kedv"
"/st/snw/temper.mp3"          ,"temper"                                ,"B2"   ,"kedv, hangulat; indulatos természet"
"/st/snw/deep.mp3"            ,"deep"                                  ,"B2"   ,"mély, mélységes"
"/st/snw/emotional.mp3"       ,"emotional"                             ,"B2"   ,"érzelmi, lelki"
"/st/snw/emotional.mp3"       ,"emotional"                             ,"B2"   ,"heves érzelmeket kiváltó; érzelgős"
"/st/snw/inner.mp3"           ,"inner"                                 ,"B2"   ,"belső, titkolt"
"/st/snw/moving.mp3"          ,"moving"                                ,"B2"   ,"megható"
"/st/snw/passionate.mp3"      ,"passionate"                            ,"B2"   ,"szenvedélyes; heves"
"/st/snw/psychological.mp3"   ,"psychological"                         ,"B2"   ,"pszichés; pszichológiai"
"/st/snw/spiritual.mp3"       ,"spiritual"                             ,"B2"   ,"lelki, szellemi; vallási"
"/st/snw/emotionally.mp3"     ,"emotionally"                           ,"B2"   ,"érzelmileg, lelkileg; elérzékenyülten"
"/st/snw/inside_adv.mp3"      ,"inside"                                ,"B2"   ,"belül"
"/st/snw/passionately.mp3"    ,"passionately"                          ,"B2"   ,"szenvedélyesen"
"/st/snw/psychologically.mp3" ,"psychologically"                       ,"B2"   ,"lélektanilag"
"/st/snk/r820.mp3"            ,"can't/couldn't get over sth"           ,"B2"   ,"nem tudja túltenni magát  vmin"
"/st/snk/r2190.mp3"           ,"pour out ↔ sth"                        ,"B2"   ,"kiönt  vmin"
"/st/snk/r726.mp3"            ,"bored/scared/worried, etc. stiff"      ,"B2"   ,"halálosan/baromian unatkozik/megrémül/aggódik/stb.    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
"/st/snk/r991.mp3"            ,"deep down"                             ,"B2"   ,"lelke mélyén    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
"/st/snk/r1155.mp3"           ,"fill sb with anger/joy/pride, etc."    ,"B2"   ,"haraggal/örömmel/büszkeséggel/stb. tölt el    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
"/st/snk/r1548.mp3"           ,"in good/high/low, etc. spirits"        ,"B2"   ,"jókedvű, rosszkedvű, stb.    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
"/st/snk/r1847.mp3"           ,"lose interest/patience, etc."          ,"B2"   ,"elveszti az érdeklődését/türelmét/stb.    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
"/st/snk/r2493.mp3"           ,"sound angry/happy/rude, etc."          ,"B2"   ,"dühösnek/boldognak/durvának/stb. hangzik/tűnik    vkit    vki  vmiben/büszkévé vmi/érdeklődést vmi"
