"AUDIOFILE"               ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/act.mp3"         ,"act"                                ,"B2"   ,"cselekszik"
"/st/snw/conduct.mp3"     ,"conduct"                            ,"B2"   ,"lefolytat"
"/st/snw/construct.mp3"   ,"construct"                          ,"B2"   ,"épít"
"/st/snw/implement.mp3"   ,"implement"                          ,"B2"   ,"alkalmaz, végrehajt ; kivitelez, megvalósít"
"/st/snw/perform.mp3"     ,"perform"                            ,"B2"   ,"elvégez, végrehajt"
"/st/snw/do.mp3"          ,"do"                                 ,"B2"   ,""
"/st/snw/act.mp3"         ,"act"                                ,"B2"   ,"cselekedet, tett"
"/st/snw/action.mp3"      ,"action"                             ,"B2"   ,"cselekvés, tett, cselekedet"
"/st/snw/activity.mp3"    ,"activity"                           ,"B2"   ,"ténykedés, tevékenykedés, cselekmény"
"/st/snw/activity.mp3"    ,"activity"                           ,"B2"   ,"aktivitás, tevékenység, sürgés-forgás"
"/st/snw/step.mp3"        ,"step"                               ,"B2"   ,"lépés"
"/st/snw/active.mp3"      ,"active"                             ,"B2"   ,"aktív, tevékeny"
"/st/snw/passive.mp3"     ,"passive"                            ,"B2"   ,"passzív, tétlen"
"/st/snw/actively.mp3"    ,"actively"                           ,"B2"   ,"tevékenyen, aktívan"
"/st/snk/r2393.mp3"       ,"see to sth/sb"                      ,"B2"   ,"gondoskodik , elintéz  vmiről vmit"
"/st/snk/r1913.mp3"       ,"may have"                           ,"B2"   ,"lehet hogy"
"/st/snk/r1919.mp3"       ,"might have"                         ,"B2"   ,"lehet"
"/st/snk/r3014.mp3"       ,"will have"                          ,"B2"   ,"segédige a befejezett jövő idő képzéséhez"
"/st/snw/grip.mp3"        ,"grip"                               ,"B2"   ,"megmarkol, szorít, megszorít"
"/st/snw/lower.mp3"       ,"lower"                              ,"B2"   ,"leenged, leereszt vmit"
"/st/snw/reach.mp3"       ,"reach"                              ,"B2"   ,"nyúl vki/vmi felé/vhová;  elér vmit"
"/st/snw/remove.mp3"      ,"remove"                             ,"B2"   ,"levesz vmit"
"/st/snw/seize.mp3"       ,"seize"                              ,"B2"   ,"megragad vmit"
"/st/snw/wrap.mp3"        ,"wrap"                               ,"B2"   ,"beburkol, bebugyolál vkit/vmit"
"/st/snw/grip.mp3"        ,"grip"                               ,"B2"   ,"szorítás,  fogás; tapadás"
"/st/snw/hold.mp3"        ,"hold"                               ,"B2"   ,"fogás, markolás"
"/st/snw/touch.mp3"       ,"touch"                              ,"B2"   ,"érintés"
"/st/snw/steady.mp3"      ,"steady"                             ,"B2"   ,"biztos, stabil"
"/st/snw/by.mp3"          ,"by"                                 ,"B2"   ,"-nál, -nél"
"/st/snk/r2612.mp3"       ,"take down ↔ sth"                    ,"B2"   ,"leszed ; leszerel, lebont  vmit"
"/st/snk/r823.mp3"        ,"can/can't/could, etc. reach (sth)"  ,"B2"   ,"elér/nem ér el  vmit"
"/st/snk/r848.mp3"        ,"catch/get/grab/take hold of sth/sb" ,"B2"   ,"elkap  vmit"
"/st/snk/r2168.mp3"       ,"place sth in/on, etc."              ,"B2"   ,"bele-/rá- helyez  vmit"
"/st/snk/r2216.mp3"       ,"pull yourself along/up, etc."       ,"B2"   ,"előrehúzza/felhúzza/stb. magát  vmit"
"/st/snw/bang.mp3"        ,"bang"                               ,"B2"   ,"csap, becsap vmit; csapódik, becsapódik"
"/st/snw/bend.mp3"        ,"bend"                               ,"B2"   ,"hajlít, elhajlít, meghajlít, görbít; hajlik, elhajlik, meghajlik, elgörbül; kanyarodik"
"/st/snw/pound.mp3"       ,"pound"                              ,"B2"   ,"erősen üt/ver, ütlegel; lüktet, ver ;  tör/zúz"
"/st/snw/punch.mp3"       ,"punch"                              ,"B2"   ,"öklöz, ököllel üt; lyukaszt, kilyukaszt"
"/st/snw/roll.mp3"        ,"roll"                               ,"B2"   ,"felteker, összegöngyöl; gurul; gurít"
"/st/snw/rub.mp3"         ,"rub"                                ,"B2"   ,"dörzsöl; dörgölődzik"
