"AUDIOFILE"               ,"FOREIGNWORD"            ,"LEVEL","NATIVEWORD"
"/st/snw/do.mp3"          ,"do"                     ,"A2"   ,"van vhogy, vmilyen állapotban van"
"/st/snw/comb.mp3"        ,"comb"                   ,"A2"   ,"fésű"
"/st/snw/health.mp3"      ,"health"                 ,"A2"   ,"egészség; egészségi állapot"
"/st/snw/make-up.mp3"     ,"make-up"                ,"A2"   ,"smink; kozmetikai szerek"
"/st/snw/perfume.mp3"     ,"perfume"                ,"A2"   ,"parfüm"
"/st/snw/shampoo.mp3"     ,"shampoo"                ,"A2"   ,"sampon"
"/st/snw/soap.mp3"        ,"soap"                   ,"A2"   ,"szappan"
"/st/snw/toothbrush.mp3"  ,"toothbrush"             ,"A2"   ,"fogkefe"
"/st/snw/towel.mp3"       ,"towel"                  ,"A2"   ,"törülköző"
"/st/snw/all_right.mp3"   ,"all right"              ,"A2"   ,"jól van"
"/st/snw/alright.mp3"     ,"alright"                ,"A2"   ,"jól van"
"/st/snw/healthy.mp3"     ,"healthy"                ,"A2"   ,"egészséges"
"/st/snw/healthy.mp3"     ,"healthy"                ,"A2"   ,"egészséges"
"/st/snw/how.mp3"         ,"how"                    ,"A2"   ,"hogy"
"/st/snk/r2229.mp3"       ,"put on ↔ sth"           ,"A2"   ,"beken ; sminkel"
"/st/snw/dream.mp3"       ,"dream"                  ,"A2"   ,"álmodik"
"/st/snw/grow.mp3"        ,"grow"                   ,"A2"   ,"nő, növekszik"
"/st/snw/back.mp3"        ,"back"                   ,"A2"   ,"hát"
"/st/snw/blood.mp3"       ,"blood"                  ,"A2"   ,"vér"
"/st/snw/brain.mp3"       ,"brain"                  ,"A2"   ,"agy"
"/st/snw/dream.mp3"       ,"dream"                  ,"A2"   ,"álom"
"/st/snw/finger.mp3"      ,"finger"                 ,"A2"   ,"ujj"
"/st/snw/heart.mp3"       ,"heart"                  ,"A2"   ,"szív"
"/st/snw/neck.mp3"        ,"neck"                   ,"A2"   ,"nyak"
"/st/snw/stomach.mp3"     ,"stomach"                ,"A2"   ,"gyomor; has"
"/st/snw/toe.mp3"         ,"toe"                    ,"A2"   ,"lábujj; orr"
"/st/snw/attractive.mp3"  ,"attractive"             ,"A2"   ,"vonzó, csábító, szemrevaló"
"/st/snw/blonde.mp3"      ,"blonde"                 ,"A2"   ,"szőke"
"/st/snw/fair.mp3"        ,"fair"                   ,"A2"   ,"világos, szőke"
"/st/snw/good-looking.mp3","good-looking"           ,"A2"   ,"jóképű"
"/st/snw/pretty.mp3"      ,"pretty"                 ,"A2"   ,"csinos, vonzó"
"/st/snw/red.mp3"         ,"red"                    ,"A2"   ,"vörös"
"/st/snw/thin.mp3"        ,"thin"                   ,"A2"   ,"vékony, sovány"
"/st/snk/r1376.mp3"       ,"go to the toilet"       ,"A2"   ,"vécére megy"
"/st/snk/r1832.mp3"       ,"look nice/strange, etc.","A2"   ,"kedvesnek/furcsának/stb. látszik/tűnik/néz ki"
"/st/snk/r112.mp3"        ,"What is sb/sth like?"   ,"A2"   ,"milyen? hogy néz ki?"
