"AUDIOFILE"                ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/gasp.mp3"         ,"gasp"                         ,"C2"   ,"liheg, zihál"
"/st/snw/shudder.mp3"      ,"shudder"                      ,"C2"   ,"megborzong, megrázkódik"
"/st/snw/sniff.mp3"        ,"sniff"                        ,"C2"   ,"szipog, szipákol"
"/st/snw/spit.mp3"         ,"spit"                         ,"C2"   ,"köp"
"/st/snw/suck.mp3"         ,"suck"                         ,"C2"   ,"szopogat vmit; szív, kiszív"
"/st/snw/water.mp3"        ,"water"                        ,"C2"   ,"nyáladzik, folyik a nyála; könnyezik"
"/st/snw/circulation.mp3"  ,"circulation"                  ,"C2"   ,"vérkeringés"
"/st/snw/disc.mp3"         ,"disc"                         ,"C2"   ,"porckorong"
"/st/snw/flesh.mp3"        ,"flesh"                        ,"C2"   ,"hús"
"/st/snw/guts.mp3"         ,"guts"                         ,"C2"   ,"belső részek"
"/st/snw/immune_system.mp3","immune system"                ,"C2"   ,"immunrendszer"
"/st/snw/instinct.mp3"     ,"instinct"                     ,"C2"   ,"ösztön"
"/st/snw/joint.mp3"        ,"joint"                        ,"C2"   ,"ízület"
"/st/snw/kidney.mp3"       ,"kidney"                       ,"C2"   ,"vese"
"/st/snw/nerve.mp3"        ,"nerve"                        ,"C2"   ,"ideg"
"/st/snw/skull.mp3"        ,"skull"                        ,"C2"   ,"koponya"
"/st/snw/system.mp3"       ,"system"                       ,"C2"   ,"szervezet; a szervezet rendszerei"
"/st/snw/dead.mp3"         ,"dead"                         ,"C2"   ,"zsibbadt, elzsibbadt, meggémberedett"
"/st/snw/drown.mp3"        ,"drown"                        ,"C2"   ,"elnyom, elnyel"
"/st/snw/flash.mp3"        ,"flash"                        ,"C2"   ,"felvillan ; felvillant"
"/st/snw/reveal.mp3"       ,"reveal"                       ,"C2"   ,"felfed, feltár"
"/st/snw/scan.mp3"         ,"scan"                         ,"C2"   ,"vizsgál, fürkész"
"/st/snw/sniff.mp3"        ,"sniff"                        ,"C2"   ,"szimatol"
"/st/snw/view.mp3"         ,"view"                         ,"C2"   ,"néz, megnéz"
"/st/snw/fragrance.mp3"    ,"fragrance"                    ,"C2"   ,"illat"
"/st/snw/gaze.mp3"         ,"gaze"                         ,"C2"   ,"nézés, tekintet"
"/st/snw/odour.mp3"        ,"odour"                        ,"C2"   ,"szag"
"/st/snw/view.mp3"         ,"view"                         ,"C2"   ,"láthatóság"
"/st/snw/fixed.mp3"        ,"fixed"                        ,"C2"   ,"rászegezett ; fix, mozdíthatatlan"
"/st/snw/fragrant.mp3"     ,"fragrant"                     ,"C2"   ,"illatos"
"/st/snk/r842.mp3"         ,"catch sight of sth"           ,"C2"   ,"megpillant  vmit    vkire/vmire"
"/st/snk/r2156.mp3"        ,"peep at/through/out, etc."    ,"C2"   ,"keresztül-/ki-/stb. kukucskál/kandikál  vmit    vkire/vmire"
"/st/snk/r2157.mp3"        ,"peer at/into/through, etc."   ,"C2"   ,"merőn rá-/bele-/stb. -néz, szemügyre vesz  vmit    vkire/vmire"
"/st/snk/r2472.mp3"        ,"sneak a look/glance at sb/sth","C2"   ,"titokban/lopva rápillant  vmit    vkire/vmire"
"/st/snk/r2777.mp3"        ,"the naked eye"                ,"C2"   ,"szabad szemmel  vmit    vkire/vmire"
"/st/snw/perceive.mp3"     ,"perceive"                     ,"C2"   ,"érzékel, észlel vmit"
"/st/snw/sense.mp3"        ,"sense"                        ,"C2"   ,"megérez vmit"
"/st/snw/illusion.mp3"     ,"illusion"                     ,"C2"   ,"illúzió, érzékcsalódás"
"/st/snw/intuition.mp3"    ,"intuition"                    ,"C2"   ,"ösztönös megérzés, intuíció"
"/st/snw/recognition.mp3"  ,"recognition"                  ,"C2"   ,"felismerés, megismerés"
"/st/snw/deceptive.mp3"    ,"deceptive"                    ,"C2"   ,"megtévesztő, csalóka"
"/st/snw/distinct.mp3"     ,"distinct"                     ,"C2"   ,"jól látható/hallható, jól kivehető/érzékelhető"
"/st/snw/observant.mp3"    ,"observant"                    ,"C2"   ,"jó megfigyelő"
"/st/snw/prominent.mp3"    ,"prominent"                    ,"C2"   ,"kimagasló"
"/st/snw/subtle.mp3"       ,"subtle"                       ,"C2"   ,"finom, apró"
"/st/snw/tangible.mp3"     ,"tangible"                     ,"C2"   ,"érzékelhető, kézzelfogható"
"/st/snw/visibly.mp3"      ,"visibly"                      ,"C2"   ,"láthatóan"
"/st/snk/r885.mp3"         ,"come across"                  ,"C2"   ,"kifejeződik, tisztán kivehető"
"/st/snk/r841.mp3"         ,"catch sb's eye"               ,"C2"   ,"megfogja/magára vonzza a tekintetét"
"/st/snk/r841.mp3"         ,"catch sb's eye"               ,"C2"   ,"elkapja a tekintetét"
"/st/snk/r2059.mp3"        ,"on the face of it"            ,"C2"   ,"ránézésre, első pillantásra, látszatra"
"/st/snk/r2961.mp3"        ,"under your nose"              ,"C2"   ,"az orra előtt"
"/st/snw/drain.mp3"        ,"drain"                        ,"C2"   ,"kimerít vkit"
"/st/snw/glow.mp3"         ,"glow"                         ,"C2"   ,"ragyog"
"/st/snw/tire.mp3"         ,"tire"                         ,"C2"   ,"fárad, kifárad, elfárad; fáraszt, kifáraszt, elfáraszt"
"/st/snw/calf.mp3"         ,"calf"                         ,"C2"   ,"vádli"
"/st/snw/complexion.mp3"   ,"complexion"                   ,"C2"   ,"arcszín"
"/st/snw/fist.mp3"         ,"fist"                         ,"C2"   ,"ököl"
"/st/snw/fringe.mp3"       ,"fringe"                       ,"C2"   ,"frufru"
"/st/snw/glow.mp3"         ,"glow"                         ,"C2"   ,"ragyogás"
"/st/snw/knuckle.mp3"      ,"knuckle"                      ,"C2"   ,"ujjízület"
"/st/snw/nostril.mp3"      ,"nostril"                      ,"C2"   ,"orrlyuk"
"/st/snw/palm.mp3"         ,"palm"                         ,"C2"   ,"tenyér"
"/st/snw/presence.mp3"     ,"presence"                     ,"C2"   ,"megjelenés"
"/st/snw/side.mp3"         ,"side"                         ,"C2"   ,"oldal"
"/st/snw/vitality.mp3"     ,"vitality"                     ,"C2"   ,"életerő, vitalitás"
"/st/snw/delicate.mp3"     ,"delicate"                     ,"C2"   ,"finom"
"/st/snw/facial.mp3"       ,"facial"                       ,"C2"   ,"arc-"
"/st/snw/fragile.mp3"      ,"fragile"                      ,"C2"   ,"törékeny"
"/st/snw/frail.mp3"        ,"frail"                        ,"C2"   ,"törékeny"
"/st/snw/fresh.mp3"        ,"fresh"                        ,"C2"   ,"friss, üde"
"/st/snw/hygienic.mp3"     ,"hygienic"                     ,"C2"   ,"higiénikus"
"/st/snw/plain.mp3"        ,"plain"                        ,"C2"   ,"jelentéktelen"
"/st/snw/plump.mp3"        ,"plump"                        ,"C2"   ,"duci ; gömbölyded"
"/st/snw/shattered.mp3"    ,"shattered"                    ,"C2"   ,"összetört, kimerült"
"/st/snw/slender.mp3"      ,"slender"                      ,"C2"   ,"karcsú ; csekély"
"/st/snw/strenuous.mp3"    ,"strenuous"                    ,"C2"   ,"fárasztó, megerőltető"
"/st/snw/weary.mp3"        ,"weary"                        ,"C2"   ,"fáradt, kimerült"
"/st/snw/white.mp3"        ,"white"                        ,"C2"   ,"fehér"
"/st/snk/r1059.mp3"        ,"drift off"                    ,"C2"   ,"álomba szenderül, elszenderül"
"/st/snk/r453.mp3"         ,"be alive and kicking/well"    ,"C2"   ,"él és virul , él és virágzik  vki vmi"
"/st/snk/r456.mp3"         ,"be an effort"                 ,"C2"   ,"erőfeszítést igénylő/megerőltető dolog  vki vmi"
"/st/snk/r647.mp3"         ,"be wide awake"                ,"C2"   ,"teljesen éber  vki vmi"
"/st/snk/r1136.mp3"        ,"fast asleep"                  ,"C2"   ,"mélyen alszik  vki vmi"
"/st/snk/r1999.mp3"        ,"not sleep a wink"             ,"C2"   ,"egy szemhunyást/szemhunyásnyit sem aludt  vki vmi"
"/st/snk/r2366.mp3"        ,"sb's looks"                   ,"C2"   ,"megjelenés, külső  vki vmi"
"/st/snk/r2928.mp3"        ,"toss and turn"                ,"C2"   ,"forgolódik, hánykolódik  vki vmi"
