"AUDIOFILE"                    ,"FOREIGNWORD"                                  ,"LEVEL","NATIVEWORD"
"/st/snw/ponder.mp3"           ,"ponder"                                       ,"C2"   ,"elgondolkodik vmin"
"/st/snw/conception.mp3"       ,"conception"                                   ,"C2"   ,"elképzelés, fogalom, elgondolás vmiről"
"/st/snw/intellect.mp3"        ,"intellect"                                    ,"C2"   ,"értelem, ész, intelligencia"
"/st/snw/reflection.mp3"       ,"reflection"                                   ,"C2"   ,"elmélkedés, átgondolás"
"/st/snw/sentiment.mp3"        ,"sentiment"                                    ,"C2"   ,"felfogás, érzés ; érzelmesség"
"/st/snw/broad-minded.mp3"     ,"broad-minded"                                 ,"C2"   ,"liberális gondolkozású"
"/st/snw/closed.mp3"           ,"closed"                                       ,"C2"   ,"maradi, zárkózott"
"/st/snw/short-sighted.mp3"    ,"short-sighted"                                ,"C2"   ,"rövidlátó"
"/st/snw/theoretical.mp3"      ,"theoretical"                                  ,"C2"   ,"elméleti, elvi"
"/st/snw/thoughtful.mp3"       ,"thoughtful"                                   ,"C2"   ,"elgondolkodó"
"/st/snw/intellectually.mp3"   ,"intellectually"                               ,"C2"   ,"szellemileg, intellektuálisan"
"/st/snk/r883.mp3"             ,"collect yourself/your thoughts"               ,"C2"   ,"összeszedi magát/a gondolatait   vmi/vki   vkinek"
"/st/snk/r1444.mp3"            ,"have sth on your mind"                        ,"C2"   ,"jár a fejében   vmi/vki   vkinek"
"/st/snk/r2051.mp3"            ,"on principle"                                 ,"C2"   ,"elvből   vmi/vki   vkinek"
"/st/snk/r2365.mp3"            ,"sb's line of reasoning/thinking, etc."        ,"C2"   ,"gondolatmenete/érvelésmenete   vmi/vki   vkinek"
"/st/snk/r2933.mp3"            ,"train of thought"                             ,"C2"   ,"gondolatmenet   vmi/vki   vkinek"
"/st/snw/contradict.mp3"       ,"contradict"                                   ,"C2"   ,"ellentmond vminek"
"/st/snw/deduce.mp3"           ,"deduce"                                       ,"C2"   ,"következtet"
"/st/snw/infer.mp3"            ,"infer"                                        ,"C2"   ,"következtet vmiből vmire, következtetést levon vmiből"
"/st/snw/reconcile.mp3"        ,"reconcile"                                    ,"C2"   ,"összeegyeztet, összehangol"
"/st/snw/contradiction.mp3"    ,"contradiction"                                ,"C2"   ,"ellentmondás"
"/st/snw/deduction.mp3"        ,"deduction"                                    ,"C2"   ,"következtetés, deduktív gondolkodás"
"/st/snw/paradox.mp3"          ,"paradox"                                      ,"C2"   ,"paradoxon"
"/st/snw/circular.mp3"         ,"circular"                                     ,"C2"   ,"körben járó"
"/st/snw/contradictory.mp3"    ,"contradictory"                                ,"C2"   ,"ellentmondó"
"/st/snw/irrational.mp3"       ,"irrational"                                   ,"C2"   ,"irracionális, ésszerűtlen"
"/st/snw/paradoxical.mp3"      ,"paradoxical"                                  ,"C2"   ,"paradox"
"/st/snw/plain.mp3"            ,"plain"                                        ,"C2"   ,"világos, egyértelmű"
"/st/snw/refined.mp3"          ,"refined"                                      ,"C2"   ,"kifinomult"
"/st/snw/subtle.mp3"           ,"subtle"                                       ,"C2"   ,"ravasz"
"/st/snw/logically.mp3"        ,"logically"                                    ,"C2"   ,"ésszerűen, logikusan"
"/st/snk/r674.mp3"             ,"be/run counter to sth"                        ,"C2"   ,"ellentétes  vmivel  vmivel  vkit"
"/st/snk/r940.mp3"             ,"consistent with sth"                          ,"C2"   ,"megegyező  vmivel  vmivel  vkit"
"/st/snk/r1761.mp3"            ,"lead sb to a conclusion"                      ,"C2"   ,"egy következtetésre vezet  vmivel  vmivel  vkit"
"/st/snw/measure.mp3"          ,"measure"                                      ,"C2"   ,"felmér"
"/st/snw/ignorance.mp3"        ,"ignorance"                                    ,"C2"   ,"tudatlanság"
"/st/snw/inspection.mp3"       ,"inspection"                                   ,"C2"   ,"ellenőrzés, tüzetes vizsgálat"
"/st/snw/ignorant.mp3"         ,"ignorant"                                     ,"C2"   ,"tájékozatlan, tudatlan"
"/st/snk/r313.mp3"             ,"an unknown quantity"                          ,"C2"   ,"ismeretlen személy/dolog"
"/st/snk/r663.mp3"             ,"be/get out of touch"                          ,"C2"   ,"tájékozatlan"
"/st/snk/r1131.mp3"            ,"familiarize sb/yourself with sth"             ,"C2"   ,"megismertet , megismerkedik"
"/st/snk/r1990.mp3"            ,"not have the faintest idea"                   ,"C2"   ,"sejtelme sincs róla"
"/st/snw/appreciate.mp3"       ,"appreciate"                                   ,"C2"   ,"tisztán lát, felfog, megért vmit"
"/st/snw/click.mp3"            ,"click"                                        ,"C2"   ,"beugrik vmi, hirtelen  világossá válik"
"/st/snw/know.mp3"             ,"know"                                         ,"C2"   ,"tud"
"/st/snw/clarity.mp3"          ,"clarity"                                      ,"C2"   ,"tisztaság, érthetőség"
"/st/snw/coherence.mp3"        ,"coherence"                                    ,"C2"   ,"jól érthetőség"
"/st/snw/grasp.mp3"            ,"grasp"                                        ,"C2"   ,"felfogókészség"
