"AUDIOFILE"                 ,"FOREIGNWORD"         ,"LEVEL","NATIVEWORD"
"/st/snw/concern.mp3"       ,"concern"             ,"B2"   ,"érdekeltség; dolga vkinek, köze van hozzá; törődés; aggodalom"
"/st/snw/intention.mp3"     ,"intention"           ,"B2"   ,"szándék"
"/st/snw/meaning.mp3"       ,"meaning"             ,"B2"   ,"cél, értelem, jelentőség"
"/st/snw/objective.mp3"     ,"objective"           ,"B2"   ,"cél"
"/st/snw/path.mp3"          ,"path"                ,"B2"   ,"út"
"/st/snw/target.mp3"        ,"target"              ,"B2"   ,"cél , terv"
"/st/snw/wish.mp3"          ,"wish"                ,"B2"   ,"kívánság, óhaj"
"/st/snw/ambitious.mp3"     ,"ambitious"           ,"B2"   ,"igényes, nagyra törő"
"/st/snw/deliberate.mp3"    ,"deliberate"          ,"B2"   ,"szándékos; megfontolt"
"/st/snw/automatically.mp3" ,"automatically"       ,"B2"   ,"önkéntelenül, automatikusan"
"/st/snw/deliberately.mp3"  ,"deliberately"        ,"B2"   ,"szándékosan; megfontoltan"
"/st/snk/r1002.mp3"         ,"devote sth to sb/sth","B2"   ,"szentel  vmit vmire/vkire"
"/st/snk/r1355.mp3"         ,"go for sth"          ,"B2"   ,"hajt/ráhajt  vmit vmire/vkire"
"/st/snk/r2349.mp3"         ,"rush to do sth"      ,"B2"   ,"rohan megtenni  vmit"
"/st/snk/r3022.mp3"         ,"wish to do sth"      ,"B2"   ,"szeretne , óhajt  vmit"
"/st/snw/bother.mp3"        ,"bother"              ,"B2"   ,"fárad vmivel, gondot csinál magának vmiből"
"/st/snw/fight.mp3"         ,"fight"               ,"B2"   ,"harcol vmiért"
"/st/snw/invest.mp3"        ,"invest"              ,"B2"   ,"befektet, beruház vmibe, fordít vmire"
"/st/snw/struggle.mp3"      ,"struggle"            ,"B2"   ,"erőlködik, küszködik"
"/st/snw/tackle.mp3"        ,"tackle"              ,"B2"   ,"megküzd, megbirkózik vmivel ; kérdőre von vkit"
"/st/snw/attempt.mp3"       ,"attempt"             ,"B2"   ,"próbálkozás, vmi megkísérlése"
"/st/snw/battle.mp3"        ,"battle"              ,"B2"   ,"küzdelem, harc"
"/st/snw/fight.mp3"         ,"fight"               ,"B2"   ,"küzdelem, harc"
"/st/snw/go.mp3"            ,"go"                  ,"B2"   ,"próbálkozás"
"/st/snw/input.mp3"         ,"input"               ,"B2"   ,"hozzájárulás vmihez"
"/st/snw/investment.mp3"    ,"investment"          ,"B2"   ,"befektetés"
"/st/snw/struggle.mp3"      ,"struggle"            ,"B2"   ,"erőfeszítés"
"/st/snw/test.mp3"          ,"test"                ,"B2"   ,"próba, erőpróba"
"/st/snw/trouble.mp3"       ,"trouble"             ,"B2"   ,"fáradság, megerőltetés"
"/st/snw/try.mp3"           ,"try"                 ,"B2"   ,"próba, próbálkozás, kísérlet"
"/st/snk/r3040.mp3"         ,"work at sth"         ,"B2"   ,"dolgozik"
"/st/snk/r814.mp3"          ,"can't be bothered"   ,"B2"   ,"nem képes fáradozni/vesződni  vmivel"
"/st/snk/r2218.mp3"         ,"push yourself"       ,"B2"   ,"hajtja magát  vmivel"
"/st/snw/ambition.mp3"      ,"ambition"            ,"B2"   ,"ambíció, törekvés, érvényesülési vágy; becsvágy"
"/st/snw/commitment.mp3"    ,"commitment"          ,"B2"   ,"elkötelezettség"
"/st/snw/cost.mp3"          ,"cost"                ,"B2"   ,"az ára vminek"
"/st/snw/determination.mp3" ,"determination"       ,"B2"   ,"eltökéltség"
"/st/snw/eagerness.mp3"     ,"eagerness"           ,"B2"   ,"buzgóság, türelmetlenség"
"/st/snw/will.mp3"          ,"will"                ,"B2"   ,"akarat, akaraterő"
"/st/snw/desperate.mp3"     ,"desperate"           ,"B2"   ,"mindenre elszánt; kétségbeesett"
"/st/snw/determined.mp3"    ,"determined"          ,"B2"   ,"eltökélt, elszánt, céltudatos"
"/st/snw/eager.mp3"         ,"eager"               ,"B2"   ,"buzgó, lelkes"
"/st/snw/desperately.mp3"   ,"desperately"         ,"B2"   ,"mindenre elszántan, kétségbeesetten"
"/st/snw/eagerly.mp3"       ,"eagerly"             ,"B2"   ,"buzgón, türelmetlenül"
"/st/snk/r1709.mp3"         ,"keep to sth"         ,"B2"   ,"marad , tartja magát  vminél vmihez"
"/st/snk/r2559.mp3"         ,"stick to sth"        ,"B2"   ,"ragaszkodik ; szorítkozik  vminél vmihez"
"/st/snk/r2562.mp3"         ,"stick with sth/sb"   ,"B2"   ,"kitart/marad mellett  vminél vmihez"
"/st/snk/r373.mp3"          ,"at all costs"        ,"B2"   ,"minden áron"
"/st/snw/carelessness.mp3"  ,"carelessness"        ,"B2"   ,"figyelmetlenség, gondatlanság"
"/st/snw/organizer.mp3"     ,"organizer"           ,"B2"   ,"szervező"
"/st/snw/planning.mp3"      ,"planning"            ,"B2"   ,"tervezés"
"/st/snw/disorganized.mp3"  ,"disorganized"        ,"B2"   ,"rosszul szervezett, szervezetlen, kaotikus"
"/st/snw/irresponsible.mp3" ,"irresponsible"       ,"B2"   ,"felelőtlen, meggondolatlan"
"/st/snw/organized.mp3"     ,"organized"           ,"B2"   ,"szervezett"
"/st/snw/prepared.mp3"      ,"prepared"            ,"B2"   ,"előkészített"
"/st/snw/well-organized.mp3","well-organized"      ,"B2"   ,"jól szervezett"
"/st/snw/carelessly.mp3"    ,"carelessly"          ,"B2"   ,"figyelmetlenül, hanyagul; könnyedén"
"/st/snk/r2424.mp3"         ,"set up ↔ sth"        ,"B2"   ,"megszervez"
"/st/snk/r1112.mp3"         ,"fail to do sth"      ,"B2"   ,"elmulaszt"
"/st/snk/r1113.mp3"         ,"failure to do sth"   ,"B2"   ,"mulasztás, elmulasztás"
"/st/snk/r2191.mp3"         ,"preparations"        ,"B2"   ,"előkészületek"
"/st/snk/r2202.mp3"         ,"propose to do sth"   ,"B2"   ,"tervez"
