"AUDIOFILE"                   ,"FOREIGNWORD"                                ,"LEVEL","NATIVEWORD"
"/st/snw/concept.mp3"         ,"concept"                                    ,"B2"   ,"elgondolás, elv; fogalom"
"/st/snw/depth.mp3"           ,"depth"                                      ,"B2"   ,"komolyság; bölcsesség"
"/st/snw/dimension.mp3"       ,"dimension"                                  ,"B2"   ,"szempont, látásmód, dimenzió"
"/st/snw/idea.mp3"            ,"idea"                                       ,"B2"   ,"elképzelés vmiről"
"/st/snw/intelligence.mp3"    ,"intelligence"                               ,"B2"   ,"értelem, intelligencia"
"/st/snw/sense.mp3"           ,"sense"                                      ,"B2"   ,"ész, értelem, ítélőképesség"
"/st/snw/theory.mp3"          ,"theory"                                     ,"B2"   ,"elmélet, teória ; nézet, elképzelés"
"/st/snw/thought.mp3"         ,"thought"                                    ,"B2"   ,"gondolkodás; elgondolkodás"
"/st/snw/wisdom.mp3"          ,"wisdom"                                     ,"B2"   ,"bölcsesség"
"/st/snw/abstract.mp3"        ,"abstract"                                   ,"B2"   ,"elvont, absztrakt"
"/st/snw/intellectual.mp3"    ,"intellectual"                               ,"B2"   ,"értelmi, szellemi"
"/st/snw/mental.mp3"          ,"mental"                                     ,"B2"   ,"szellemi; elme-"
"/st/snw/progressive.mp3"     ,"progressive"                                ,"B2"   ,"haladó"
"/st/snw/wise.mp3"            ,"wise"                                       ,"B2"   ,"bölcs"
"/st/snw/witty.mp3"           ,"witty"                                      ,"B2"   ,"szellemes"
"/st/snw/mentally.mp3"        ,"mentally"                                   ,"B2"   ,"szellemileg, mentálisan"
"/st/snk/r2866.mp3"           ,"think through ↔ sth"                        ,"B2"   ,"átgondol"
"/st/snk/r1624.mp3"           ,"in theory"                                  ,"B2"   ,"elméletben, elméletileg"
"/st/snk/r1885.mp3"           ,"make sense"                                 ,"B2"   ,"van értelme"
"/st/snw/apparent.mp3"        ,"apparent"                                   ,"B2"   ,"nyilvánvaló"
"/st/snw/evident.mp3"         ,"evident"                                    ,"B2"   ,"nyilvánvaló"
"/st/snw/logical.mp3"         ,"logical"                                    ,"B2"   ,"ésszerű, logikus"
"/st/snw/realistic.mp3"       ,"realistic"                                  ,"B2"   ,"józan, realista, reális"
"/st/snw/reasonable.mp3"      ,"reasonable"                                 ,"B2"   ,"méltányos, józan"
"/st/snw/reasonable.mp3"      ,"reasonable"                                 ,"B2"   ,"elfogadható, ésszerű"
"/st/snw/evidently.mp3"       ,"evidently"                                  ,"B2"   ,"nyilvánvalóan, szemmel láthatóan"
"/st/snw/reasonably.mp3"      ,"reasonably"                                 ,"B2"   ,"ésszerűen, méltányosan"
