"AUDIOFILE"               ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/dedication.mp3"  ,"dedication"                           ,"C1"   ,"odaadás, elkötelezettség; ajánlás, dedikálás"
"/st/snw/drive.mp3"       ,"drive"                                ,"C1"   ,"energia, vállalkozókedv"
"/st/snw/enterprise.mp3"  ,"enterprise"                           ,"C1"   ,"vállalkozó szellem"
"/st/snw/price.mp3"       ,"price"                                ,"C1"   ,"ár, áldozat"
"/st/snw/race.mp3"        ,"race"                                 ,"C1"   ,"verseny"
"/st/snw/aggressive.mp3"  ,"aggressive"                           ,"C1"   ,"rámenős, törtető"
"/st/snw/dedicated.mp3"   ,"dedicated"                            ,"C1"   ,"odaadó, elkötelezett"
"/st/snw/heroic.mp3"      ,"heroic"                               ,"C1"   ,"hősies"
"/st/snk/r1643.mp3"       ,"insist on sth"                        ,"C1"   ,"nem tágít, makacsul ragaszkodik  vmihez"
"/st/snk/r1018.mp3"       ,"do everything in your power to do sth","C1"   ,"mindent megtesz ami módjában áll      vmire"
"/st/snk/r1033.mp3"       ,"do your utmost"                       ,"C1"   ,"minden tőle telhetőt megtesz      vmire"
"/st/snk/r1084.mp3"       ,"endeavour to do sth"                  ,"C1"   ,"törekszik, igyekszik      vmire"
"/st/snk/r1314.mp3"       ,"get/have your (own) way"              ,"C1"   ,"keresztülviszi az akaratát      vmire"
"/st/snk/r2250.mp3"       ,"put your mind to sth"                 ,"C1"   ,"elszánja magát      vmire"
"/st/snk/r2565.mp3"       ,"stop at nothing"                      ,"C1"   ,"semmi nem állíthatja meg      vmire"
"/st/snw/allow.mp3"       ,"allow"                                ,"C1"   ,"hagy, szán vmit/vmennyit vmire/vkire"
"/st/snw/neglect.mp3"     ,"neglect"                              ,"C1"   ,"elhanyagol"
"/st/snw/pursue.mp3"      ,"pursue"                               ,"C1"   ,"törekszik vmire, folytat; üldöz, hajszol"
"/st/snw/reorganize.mp3"  ,"reorganize"                           ,"C1"   ,"átszervez"
"/st/snw/idea.mp3"        ,"idea"                                 ,"C1"   ,"szándék, cél"
"/st/snw/neglect.mp3"     ,"neglect"                              ,"C1"   ,"elhanyagolás"
"/st/snw/organization.mp3","organization"                         ,"C1"   ,"szervezés, megszervezés; szervezettség"
"/st/snw/will.mp3"        ,"will"                                 ,"C1"   ,"kívánság, akarat"
"/st/snw/practical.mp3"   ,"practical"                            ,"C1"   ,"célravezető, gyakorlatias, praktikus"
"/st/snk/r2348.mp3"       ,"rush into sth"                        ,"C1"   ,"elsiet, elkapkod  vmit"
"/st/snk/r454.mp3"        ,"be all set"                           ,"C1"   ,"készen van    vminek  vmit"
"/st/snk/r1867.mp3"       ,"make a point of doing sth"            ,"C1"   ,"súlyt helyez az elvégzésére    vminek  vmit"
"/st/snk/r2030.mp3"       ,"omit to do sth"                       ,"C1"   ,"elfelejt/elmulaszt megtenni    vminek  vmit"
"/st/snk/r31.mp3"         ,"(take) the easy way out"              ,"C1"   ,"a könnyű utat választja    vminek  vmit"
