"AUDIOFILE"                 ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/beg.mp3"           ,"beg"                              ,"B2"   ,"koldul"
"/st/snw/collect.mp3"       ,"collect"                          ,"B2"   ,"másoktól pénzt gyűjt"
"/st/snw/donate.mp3"        ,"donate"                           ,"B2"   ,"adományoz"
"/st/snw/association.mp3"   ,"association"                      ,"B2"   ,"társaság, egyesület"
"/st/snw/citizen.mp3"       ,"citizen"                          ,"B2"   ,"állampolgár"
"/st/snw/class.mp3"         ,"class"                            ,"B2"   ,"társadalmi osztály"
"/st/snw/committee.mp3"     ,"committee"                        ,"B2"   ,"bizottság"
"/st/snw/community.mp3"     ,"community"                        ,"B2"   ,"közösség"
"/st/snw/democracy.mp3"     ,"democracy"                        ,"B2"   ,"demokrácia"
"/st/snw/donation.mp3"      ,"donation"                         ,"B2"   ,"adomány"
"/st/snw/equality.mp3"      ,"equality"                         ,"B2"   ,"egyenlőség, egyenjogúság"
"/st/snw/freedom.mp3"       ,"freedom"                          ,"B2"   ,"szabadság"
"/st/snw/human_rights.mp3"  ,"human rights"                     ,"B2"   ,"emberi jogok"
"/st/snw/hunger.mp3"        ,"hunger"                           ,"B2"   ,"éhezés"
"/st/snw/immigrant.mp3"     ,"immigrant"                        ,"B2"   ,"bevándorló"
"/st/snw/immigration.mp3"   ,"immigration"                      ,"B2"   ,"bevándorlás"
"/st/snw/institute.mp3"     ,"institute"                        ,"B2"   ,"intézet, intézmény"
"/st/snw/institution.mp3"   ,"institution"                      ,"B2"   ,"intézmény"
"/st/snw/liberty.mp3"       ,"liberty"                          ,"B2"   ,"szabadság, szabadságjogok"
"/st/snw/poverty.mp3"       ,"poverty"                          ,"B2"   ,"szegénység"
"/st/snw/racism.mp3"        ,"racism"                           ,"B2"   ,"rasszizmus, fajgyűlölet"
"/st/snw/refugee.mp3"       ,"refugee"                          ,"B2"   ,"menekült"
"/st/snw/servant.mp3"       ,"servant"                          ,"B2"   ,"szolga, cseléd"
"/st/snw/slave.mp3"         ,"slave"                            ,"B2"   ,"rabszolga"
"/st/snw/tribe.mp3"         ,"tribe"                            ,"B2"   ,"törzs, néptörzs"
"/st/snw/democratic.mp3"    ,"democratic"                       ,"B2"   ,"demokratikus"
"/st/snw/equal.mp3"         ,"equal"                            ,"B2"   ,"egyenlő, egyenrangú"
"/st/snw/exclusive.mp3"     ,"exclusive"                        ,"B2"   ,"előkelő, exkluzív"
"/st/snw/free.mp3"          ,"free"                             ,"B2"   ,"szabad, korlátozás nélküli"
"/st/snw/independent.mp3"   ,"independent"                      ,"B2"   ,"független"
"/st/snw/native.mp3"        ,"native"                           ,"B2"   ,"bennszülött"
"/st/snw/racial.mp3"        ,"racial"                           ,"B2"   ,"faji"
"/st/snw/starving.mp3"      ,"starving"                         ,"B2"   ,"éhínségben szenvedő; halálra éhező"
"/st/snw/free.mp3"          ,"free"                             ,"B2"   ,"szabadon"
"/st/snw/freely.mp3"        ,"freely"                           ,"B2"   ,"szabadon; nyíltan, kertelés nélkül"
"/st/snw/independence.mp3"  ,"independence"                     ,"B2"   ,"függetlenség"
"/st/snw/mankind.mp3"       ,"mankind"                          ,"B2"   ,"emberiség"
"/st/snw/nation.mp3"        ,"nation"                           ,"B2"   ,"nemzet"
"/st/snw/peace.mp3"         ,"peace"                            ,"B2"   ,"béke; közrend"
"/st/snw/territory.mp3"     ,"territory"                        ,"B2"   ,"terület, felségterület"
"/st/snw/union.mp3"         ,"union"                            ,"B2"   ,"szövetség, unió; egyesülés; egyesítés"
"/st/snw/developed.mp3"     ,"developed"                        ,"B2"   ,"fejlett"
"/st/snw/developing.mp3"    ,"developing"                       ,"B2"   ,"fejlődő"
"/st/snw/domestic.mp3"      ,"domestic"                         ,"B2"   ,"bel-, belföldi, hazai"
