"AUDIOFILE"              ,"FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/build.mp3"      ,"build"      ,"A2"   ,"épít; fejleszt"
"/st/snw/grow.mp3"       ,"grow"       ,"A2"   ,"termeszt, termel"
"/st/snw/area.mp3"       ,"area"       ,"A2"   ,"terület, térség, övezet, körzet"
"/st/snw/building.mp3"   ,"building"   ,"A2"   ,"épület; építés, építkezés"
"/st/snw/capital.mp3"    ,"capital"    ,"A2"   ,"főváros"
"/st/snw/castle.mp3"     ,"castle"     ,"A2"   ,"vár, kastély"
"/st/snw/centre.mp3"     ,"centre"     ,"A2"   ,"központ"
"/st/snw/countryside.mp3","countryside","A2"   ,"vidék"
"/st/snw/entrance.mp3"   ,"entrance"   ,"A2"   ,"bejárat"
"/st/snw/exit.mp3"       ,"exit"       ,"A2"   ,"kijárat"
"/st/snw/field.mp3"      ,"field"      ,"A2"   ,"mező, rét, föld, szántóföld"
"/st/snw/hall.mp3"       ,"hall"       ,"A2"   ,"terem"
"/st/snw/playground.mp3" ,"playground" ,"A2"   ,"játszótér"
"/st/snw/square.mp3"     ,"square"     ,"A2"   ,"tér"
"/st/snw/town.mp3"       ,"town"       ,"A2"   ,"belváros"
"/st/snk/r2708.mp3"      ,"the country","A2"   ,"vidék"
