"AUDIOFILE"                   ,"FOREIGNWORD"     ,"LEVEL","NATIVEWORD"
"/st/snw/reconstruct.mp3"     ,"reconstruct"     ,"C1"   ,"újjáépít, helyreállít, rekonstruál"
"/st/snw/redevelop.mp3"       ,"redevelop"       ,"C1"   ,"újjáépít, átrendez"
"/st/snw/renovate.mp3"        ,"renovate"        ,"C1"   ,"tataroz, felújít"
"/st/snw/stand.mp3"           ,"stand"           ,"C1"   ,"áll"
"/st/snw/cabin.mp3"           ,"cabin"           ,"C1"   ,"kis faház, házikó, kunyhó"
"/st/snw/complex.mp3"         ,"complex"         ,"C1"   ,"épületegyüttes, komplexum"
"/st/snw/landmark.mp3"        ,"landmark"        ,"C1"   ,"jellegzetes tájékozódási pont, feltűnő építmény"
"/st/snw/lawn.mp3"            ,"lawn"            ,"C1"   ,"gyep"
"/st/snw/lounge.mp3"          ,"lounge"          ,"C1"   ,"társalgó ; váróterem"
"/st/snw/mansion.mp3"         ,"mansion"         ,"C1"   ,"hatalmas ház"
"/st/snw/planning.mp3"        ,"planning"        ,"C1"   ,"tervezés, várostervezés; -tervezés"
"/st/snw/premises.mp3"        ,"premises"        ,"C1"   ,"épület, létesítmény"
"/st/snw/reconstruction.mp3"  ,"reconstruction"  ,"C1"   ,"újjáépítés, helyreállítás"
"/st/snw/redevelopment.mp3"   ,"redevelopment"   ,"C1"   ,"újjáépítés, átrendezés"
"/st/snw/renovation.mp3"      ,"renovation"      ,"C1"   ,"tatarozás, felújítás"
"/st/snk/r672.mp3"            ,"be/lie in ruins" ,"C1"   ,"romokban hever/van"
"/st/snk/r1243.mp3"           ,"gardens"         ,"C1"   ,"park, közpark, liget"
"/st/snw/cultivate.mp3"       ,"cultivate"       ,"C1"   ,"művel ; termeszt"
"/st/snw/dump.mp3"            ,"dump"            ,"C1"   ,"kiönt, lerak vmit ; lehajigál"
"/st/snw/release.mp3"         ,"release"         ,"C1"   ,"kienged, kibocsát"
"/st/snw/sow.mp3"             ,"sow"             ,"C1"   ,"vet , bevet"
"/st/snw/cultivation.mp3"     ,"cultivation"     ,"C1"   ,"megművelés ; termesztés ; ápolás"
"/st/snw/displacement.mp3"    ,"displacement"    ,"C1"   ,"elűzés; kiszorítás"
"/st/snw/dump.mp3"            ,"dump"            ,"C1"   ,"szemétdomb"
"/st/snw/environmentalist.mp3","environmentalist","C1"   ,"környezetvédő"
"/st/snw/exhaust.mp3"         ,"exhaust"         ,"C1"   ,"kipufogógáz"
"/st/snw/fumes.mp3"           ,"fumes"           ,"C1"   ,"füst, gáz, gázok"
"/st/snw/infrastructure.mp3"  ,"infrastructure"  ,"C1"   ,"infrastruktúra"
"/st/snw/migration.mp3"       ,"migration"       ,"C1"   ,"vándorlás, költözés"
"/st/snw/release.mp3"         ,"release"         ,"C1"   ,"kiengedés, kibocsátás"
"/st/snw/smog.mp3"            ,"smog"            ,"C1"   ,"szmog, füstköd"
"/st/snw/central.mp3"         ,"central"         ,"C1"   ,"központi"
"/st/snw/deserted.mp3"        ,"deserted"        ,"C1"   ,"elhagyatott"
"/st/snw/isolated.mp3"        ,"isolated"        ,"C1"   ,"elszigetelt, magányosan álló"
"/st/snw/renewable.mp3"       ,"renewable"       ,"C1"   ,"megújuló"
"/st/snw/resident.mp3"        ,"resident"        ,"C1"   ,"helyben lakó, vhol hosszabb ideig tartózkodó"
"/st/snw/sustainable.mp3"     ,"sustainable"     ,"C1"   ,"fenntartható"
"/st/snw/unspoiled.mp3"       ,"unspoiled"       ,"C1"   ,"romlatlan, el nem rontott"
"/st/snw/untouched.mp3"       ,"untouched"       ,"C1"   ,"érintetlen"
"/st/snk/r598.mp3"            ,"be populated"    ,"C1"   ,"benépesült, benépesített"
