"AUDIOFILE"                ,"FOREIGNWORD"                            ,"LEVEL","NATIVEWORD"
"/st/snw/undergo.mp3"      ,"undergo"                                ,"C1"   ,"keresztülmegy, átmegy vmin"
"/st/snw/destiny.mp3"      ,"destiny"                                ,"C1"   ,"sors"
"/st/snw/existence.mp3"    ,"existence"                              ,"C1"   ,"életvitel"
"/st/snw/hardship.mp3"     ,"hardship"                               ,"C1"   ,"szűkölködés, megpróbáltatás"
"/st/snw/introduction.mp3" ,"introduction"                           ,"C1"   ,"bevezetés, első tapasztalatok"
"/st/snw/pensioner.mp3"    ,"pensioner"                              ,"C1"   ,"nyugdíjas"
"/st/snw/philosophy.mp3"   ,"philosophy"                             ,"C1"   ,"életfilozófia, életelv"
"/st/snw/security.mp3"     ,"security"                               ,"C1"   ,"biztonság"
"/st/snw/hard.mp3"         ,"hard"                                   ,"C1"   ,"nehéz, keserves"
"/st/snk/r1003.mp3"        ,"devote yourself to sth"                 ,"C1"   ,"szenteli magát  vminek  vmin vmit  vhol"
"/st/snk/r1247.mp3"        ,"get (sb) through sth"                   ,"C1"   ,"túljut , átvészel ; túljuttat  vminek  vmin vmit  vhol"
"/st/snk/r2428.mp3"        ,"settle down"                            ,"C1"   ,"megállapodik  vminek  vmin vmit  vhol"
"/st/snk/r2538.mp3"        ,"start out"                              ,"C1"   ,"kezd  vminek  vmin vmit  vhol"
"/st/snk/r173.mp3"         ,"a history of sth"                       ,"C1"   ,"múltja  vkinek/vminek   vmire"
"/st/snk/r758.mp3"         ,"broaden/expand/widen your horizons"     ,"C1"   ,"kitágítja/kibővíti/kiszélesíti a látókörét  vkinek/vminek   vmire"
"/st/snk/r990.mp3"         ,"dedicate your life/yourself to sth"     ,"C1"   ,"az életét/magát szenteli/áldozza  vkinek/vminek   vmire"
"/st/snk/r28.mp3"          ,"(have) the best of both worlds"         ,"C1"   ,"mindkét dolognak az előnyeit élvezi  vkinek/vminek   vmire"
"/st/snk/r1681.mp3"        ,"keep a low profile"                     ,"C1"   ,"kerüli a feltűnést  vkinek/vminek   vmire"
