"AUDIOFILE"                ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/locate.mp3"       ,"locate"                  ,"B2"   ,"megállapítja a pontos helyét; behatárol"
"/st/snw/look.mp3"         ,"look"                    ,"B2"   ,"néz vmerre"
"/st/snw/overlook.mp3"     ,"overlook"                ,"B2"   ,"néz vmire/vmerre ; rálátása/kilátása van vmire"
"/st/snw/set.mp3"          ,"set"                     ,"B2"   ,"elhelyez vhova; elhelyezkedik"
"/st/snw/spread.mp3"       ,"spread"                  ,"B2"   ,"terjed"
"/st/snw/spot.mp3"         ,"spot"                    ,"B2"   ,"hely"
"/st/snw/surface.mp3"      ,"surface"                 ,"B2"   ,"felület, felszín"
"/st/snw/underground.mp3"  ,"underground"             ,"B2"   ,"föld alatti; föld alatt"
"/st/snw/underwater.mp3"   ,"underwater"              ,"B2"   ,"víz alatti; víz alatt"
"/st/snw/elsewhere.mp3"    ,"elsewhere"               ,"B2"   ,"máshol; máshova"
"/st/snw/widely.mp3"       ,"widely"                  ,"B2"   ,"széles körben"
"/st/snk/r289.mp3"         ,"all over the place"      ,"B2"   ,"mindenfelé"
"/st/snk/r1460.mp3"        ,"here and there"          ,"B2"   ,"itt-ott, helyenként"
"/st/snk/r2690.mp3"        ,"the air"                 ,"B2"   ,"a levegőbe, a levegőben"
"/st/snw/base.mp3"         ,"base"                    ,"B2"   ,"alap, alapzat, talp, talpazat"
"/st/snw/inside_noun.mp3"  ,"inside"                  ,"B2"   ,"belseje, belső része vminek"
"/st/snw/interior.mp3"     ,"interior"                ,"B2"   ,"belső, belseje vminek"
"/st/snw/external.mp3"     ,"external"                ,"B2"   ,"külső"
"/st/snw/far.mp3"          ,"far"                     ,"B2"   ,"túlsó, távolabbi; távoli, messzi"
"/st/snw/inner.mp3"        ,"inner"                   ,"B2"   ,"belső"
"/st/snw/inside_adj.mp3"   ,"inside"                  ,"B2"   ,"belső"
"/st/snw/internal.mp3"     ,"internal"                ,"B2"   ,"belső, bel-"
"/st/snw/middle.mp3"       ,"middle"                  ,"B2"   ,"középső"
"/st/snw/outer.mp3"        ,"outer"                   ,"B2"   ,"külső; szélső"
"/st/snw/outside_adj.mp3"  ,"outside"                 ,"B2"   ,"külső, kinti"
"/st/snw/rear.mp3"         ,"rear"                    ,"B2"   ,"hátsó, hátulsó"
"/st/snw/surrounding.mp3"  ,"surrounding"             ,"B2"   ,"környező"
"/st/snw/underneath.mp3"   ,"underneath"              ,"B2"   ,"alatt; alul"
"/st/snw/along.mp3"        ,"along"                   ,"B2"   ,"vmi mellett"
"/st/snw/amongst.mp3"      ,"amongst"                 ,"B2"   ,"között, közt; közé"
"/st/snw/beneath.mp3"      ,"beneath"                 ,"B2"   ,"alatt, alá"
"/st/snw/beyond.mp3"       ,"beyond"                  ,"B2"   ,"túl"
"/st/snw/off.mp3"          ,"off"                     ,"B2"   ,"-nál, -nél, vmi mellett"
"/st/snw/upon.mp3"         ,"upon"                    ,"B2"   ,"-on, -en, -ön; -ra, -re; -nál, -nél; -ról, -ről; -hoz, -hez, -höz"
"/st/snk/r1078.mp3"        ,"either side/end, etc."   ,"B2"   ,"mindkét/mindkettő oldal/vég/stb.    vminek"
"/st/snk/r2449.mp3"        ,"side by side"            ,"B2"   ,"egymás mellett    vminek"
"/st/snk/r2794.mp3"        ,"the outside"             ,"B2"   ,"külső rész; külseje/felszíne    vminek"
"/st/snw/climb.mp3"        ,"climb"                   ,"B2"   ,"emelkedik"
