"AUDIOFILE"                ,"FOREIGNWORD"                           ,"LEVEL","NATIVEWORD"
"/st/snw/consider.mp3"     ,"consider"                              ,"B1"   ,"fontolgat, megfontol vmit"
"/st/snw/feel.mp3"         ,"feel"                                  ,"B1"   ,"úgy érzi/gondolja hogy, vmilyen véleménye van"
"/st/snw/judge.mp3"        ,"judge"                                 ,"B1"   ,"ítél, megítél"
"/st/snw/decision.mp3"     ,"decision"                              ,"B1"   ,"döntés, elhatározás; határozat"
"/st/snw/idea.mp3"         ,"idea"                                  ,"B1"   ,"elgondolás, elképzelés"
"/st/snw/opinion.mp3"      ,"opinion"                               ,"B1"   ,"vélemény vkiről/vmiről"
"/st/snw/point.mp3"        ,"point"                                 ,"B1"   ,"vélemény, nézet"
"/st/snw/view.mp3"         ,"view"                                  ,"B1"   ,"nézet, vélemény"
"/st/snw/according_to.mp3" ,"according to"                          ,"B1"   ,"vki/vmi szerint"
"/st/snk/r642.mp3"         ,"be up to sb"                           ,"B1"   ,"függ , múlik  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snk/r853.mp3"         ,"change your mind"                      ,"B1"   ,"meggondolja magát  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snk/r866.mp3"         ,"choose to do sth"                      ,"B1"   ,"elhatároz , mi mellett dönt  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snk/r60.mp3"          ,"How about ...?"                        ,"B1"   ,"mi a vélemény , mi a helyzet ?  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snk/r1895.mp3"        ,"make up your mind or make your mind up","B1"   ,"dönt, eldönt  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snk/r2362.mp3"        ,"sb's call"                             ,"B1"   ,"döntése  vkitől vkin   vmit  vkiről/vmiről vkivel/vmivel    vkinek"
"/st/snw/dream.mp3"        ,"dream"                                 ,"B1"   ,"ábrándozik vmiről"
"/st/snw/forget.mp3"       ,"forget"                                ,"B1"   ,"megfeledkezik vmiről, elfelejt megtenni vmit"
"/st/snw/forget.mp3"       ,"forget"                                ,"B1"   ,"elfelejt vmit, nem emlékszik vmire"
"/st/snw/forget.mp3"       ,"forget"                                ,"B1"   ,"elfelejt, nem gondol rá többet"
"/st/snw/imagine.mp3"      ,"imagine"                               ,"B1"   ,"elképzel vmit"
"/st/snw/imagine.mp3"      ,"imagine"                               ,"B1"   ,"elképzel, képzelődik"
"/st/snw/remind.mp3"       ,"remind"                                ,"B1"   ,"emlékeztet, figyelmeztet vkit vmire"
"/st/snw/think.mp3"        ,"think"                                 ,"B1"   ,"gondol vkire/vmire, eszébe jut vki/vmi"
"/st/snw/would.mp3"        ,"would"                                 ,"B1"   ,"lenne"
"/st/snw/feeling.mp3"      ,"feeling"                               ,"B1"   ,"érzés, megérzés"
"/st/snw/guess.mp3"        ,"guess"                                 ,"B1"   ,"találgatás"
"/st/snw/imagination.mp3"  ,"imagination"                           ,"B1"   ,"képzelet, fantázia"
"/st/snw/memory.mp3"       ,"memory"                                ,"B1"   ,"emlékezőtehetség"
"/st/snw/memory.mp3"       ,"memory"                                ,"B1"   ,"emlék"
"/st/snw/realistic.mp3"    ,"realistic"                             ,"B1"   ,"valósághű, élethű"
"/st/snw/serious.mp3"      ,"serious"                               ,"B1"   ,"komoly"
"/st/snw/unforgettable.mp3","unforgettable"                         ,"B1"   ,"felejthetetlen"
"/st/snw/like.mp3"         ,"like"                                  ,"B1"   ,"úgy, mintha"
"/st/snk/r694.mp3"         ,"believe in sth"                        ,"B1"   ,"hisz  vmiben"
"/st/snk/r2299.mp3"        ,"remind sb of sth/sb"                   ,"B1"   ,"emlékeztet  vmiben"
"/st/snk/r1981.mp3"        ,"not believe your eyes"                 ,"B1"   ,"nem hisz a szemének"
"/st/snk/r1982.mp3"        ,"not believe your eyes/ears"            ,"B1"   ,"nem hisz a szemének/fülének"
"/st/snw/answer.mp3"       ,"answer"                                ,"B1"   ,"megold, megválaszol"
"/st/snw/concentrate.mp3"  ,"concentrate"                           ,"B1"   ,"koncentrál"
"/st/snw/find.mp3"         ,"find"                                  ,"B1"   ,"talál, felfedez"
"/st/snw/follow.mp3"       ,"follow"                                ,"B1"   ,"követ, megért vmit/vkit"
"/st/snw/hear.mp3"         ,"hear"                                  ,"B1"   ,"hall vmit/vmiről ; hallom/hallottam"
"/st/snw/imagine.mp3"      ,"imagine"                               ,"B1"   ,"elképzel"
"/st/snw/learn.mp3"        ,"learn"                                 ,"B1"   ,"megtud vmit, értesül vmiről"
"/st/snw/prove.mp3"        ,"prove"                                 ,"B1"   ,"bizonyít, bebizonyít"
"/st/snw/realize.mp3"      ,"realize"                               ,"B1"   ,"ráébred, rájön vmire; tisztában van vmivel, tudatában van vminek; valóra vált"
"/st/snw/see.mp3"          ,"see"                                   ,"B1"   ,"ért, megért vmit"
"/st/snw/solve.mp3"        ,"solve"                                 ,"B1"   ,"megold"
"/st/snw/think.mp3"        ,"think"                                 ,"B1"   ,"gondolkozik vmin"
"/st/snw/wonder.mp3"       ,"wonder"                                ,"B1"   ,"szeretné tudni; kíváncsi ; azon tűnődik"
"/st/snw/answer.mp3"       ,"answer"                                ,"B1"   ,"megoldás"
"/st/snw/attention.mp3"    ,"attention"                             ,"B1"   ,"figyelem"
"/st/snw/check.mp3"        ,"check"                                 ,"B1"   ,"ellenőrzés"
"/st/snw/common_sense.mp3" ,"common sense"                          ,"B1"   ,"józan ész"
"/st/snw/conclusion.mp3"   ,"conclusion"                            ,"B1"   ,"következtetés"
"/st/snw/doubt.mp3"        ,"doubt"                                 ,"B1"   ,"kétség, kétely"
"/st/snw/explanation.mp3"  ,"explanation"                           ,"B1"   ,"magyarázat"
"/st/snw/head.mp3"         ,"head"                                  ,"B1"   ,"ész, fej"
"/st/snw/imagination.mp3"  ,"imagination"                           ,"B1"   ,"képzelőerő, képzelőtehetség"
"/st/snw/knowledge.mp3"    ,"knowledge"                             ,"B1"   ,"tudás"
"/st/snw/meaning.mp3"      ,"meaning"                               ,"B1"   ,"jelentés, értelem"
"/st/snw/mind.mp3"         ,"mind"                                  ,"B1"   ,"ész, értelem"
"/st/snw/notice.mp3"       ,"notice"                                ,"B1"   ,"figyelem, odafigyelés"
"/st/snw/solution.mp3"     ,"solution"                              ,"B1"   ,"megoldás"
"/st/snw/thought.mp3"      ,"thought"                               ,"B1"   ,"gondolat, ötlet"
"/st/snw/brilliant.mp3"    ,"brilliant"                             ,"B1"   ,"kiváló"
"/st/snw/certain.mp3"      ,"certain"                               ,"B1"   ,"bizonyos vki vmiben"
"/st/snw/certain.mp3"      ,"certain"                               ,"B1"   ,"bizonyos vmi"
"/st/snw/clear.mp3"        ,"clear"                                 ,"B1"   ,"világos, tiszta"
"/st/snw/clever.mp3"       ,"clever"                                ,"B1"   ,"ügyes, ötletes"
"/st/snw/confused.mp3"     ,"confused"                              ,"B1"   ,"zavarodott"
"/st/snw/confusing.mp3"    ,"confusing"                             ,"B1"   ,"zavaros , zavarba ejtő"
"/st/snw/familiar.mp3"     ,"familiar"                              ,"B1"   ,"ismerős, ismert"
"/st/snw/obvious.mp3"      ,"obvious"                               ,"B1"   ,"nyilvánvaló"
"/st/snw/original.mp3"     ,"original"                              ,"B1"   ,"eredeti, új"
"/st/snw/sensible.mp3"     ,"sensible"                              ,"B1"   ,"józan, ésszerű"
"/st/snw/strange.mp3"      ,"strange"                               ,"B1"   ,"ismeretlen"
"/st/snw/unknown.mp3"      ,"unknown"                               ,"B1"   ,"ismeretlen vkinek; tudta nélkül vkinek"
"/st/snw/clearly.mp3"      ,"clearly"                               ,"B1"   ,"nyilvánvalóan"
"/st/snw/definitely.mp3"   ,"definitely"                            ,"B1"   ,"határozottan, feltétlenül"
"/st/snw/obviously.mp3"    ,"obviously"                             ,"B1"   ,"nyilvánvalóan"
"/st/snk/r430.mp3"         ,"base sth on sth"                       ,"B1"   ,"alapoz ; alapszik  vmire vmin  vminek"
"/st/snk/r1841.mp3"        ,"look up ↔ sth"                         ,"B1"   ,"kikeres , utánanéz  vmire vmin  vminek"
"/st/snk/r790.mp3"         ,"by mistake"                            ,"B1"   ,"tévedésből        vmiről  vmire   vmit"
"/st/snk/r1199.mp3"        ,"for instance"                          ,"B1"   ,"például        vmiről  vmire   vmit"
"/st/snk/r1209.mp3"        ,"for sure"                              ,"B1"   ,"minden kétséget kizáróan        vmiről  vmire   vmit"
"/st/snk/r1292.mp3"        ,"get sth wrong"                         ,"B1"   ,"félreért; elhibáz        vmiről  vmire   vmit"
"/st/snk/r1434.mp3"        ,"have no doubt"                         ,"B1"   ,"nincs kétsége        vmiről  vmire   vmit"
"/st/snk/r1436.mp3"        ,"have no idea"                          ,"B1"   ,"fogalma sincs        vmiről  vmire   vmit"
"/st/snk/r2146.mp3"        ,"pay attention (to sth)"                ,"B1"   ,"figyel, odafigyel        vmiről  vmire   vmit"
"/st/snk/r2854.mp3"        ,"there's no doubt"                      ,"B1"   ,"nincs kétség        vmiről  vmire   vmit"
"/st/snk/r2864.mp3"        ,"think of sth"                          ,"B1"   ,"kigondol        vmiről  vmire   vmit"
