"AUDIOFILE"                   ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/change.mp3"          ,"change"             ,"A2"   ,"ruhát vált, átöltözik"
"/st/snw/dress.mp3"           ,"dress"              ,"A2"   ,"öltözik, felöltözik; öltöztet, felöltöztet"
"/st/snw/fashion.mp3"         ,"fashion"            ,"A2"   ,"divat"
"/st/snw/size.mp3"            ,"size"               ,"A2"   ,"méret"
"/st/snw/comfortable.mp3"     ,"comfortable"        ,"A2"   ,"kényelmes"
"/st/snw/dressed.mp3"         ,"dressed"            ,"A2"   ,"felöltözött, fel van öltözve"
"/st/snw/on.mp3"              ,"on"                 ,"A2"   ,"rajta, rá, fel"
"/st/snk/r2229.mp3"           ,"put on ↔ sth"       ,"A2"   ,"felvesz"
"/st/snk/r2625.mp3"           ,"take off ↔ sth"     ,"A2"   ,"levet, levesz"
"/st/snk/r2936.mp3"           ,"try on ↔ sth"       ,"A2"   ,"felpróbál"
"/st/snw/cap.mp3"             ,"cap"                ,"A2"   ,"sapka"
"/st/snw/jumper.mp3"          ,"jumper"             ,"A2"   ,"pulóver"
"/st/snw/leather.mp3"         ,"leather"            ,"A2"   ,"bőr"
"/st/snw/pair.mp3"            ,"pair"               ,"A2"   ,"két részből álló dolog"
"/st/snw/raincoat.mp3"        ,"raincoat"           ,"A2"   ,"esőkabát, ballonkabát"
"/st/snw/scarf.mp3"           ,"scarf"              ,"A2"   ,"sál; fejkendő, vállkendő"
"/st/snw/shorts.mp3"          ,"shorts"             ,"A2"   ,"rövidnadrág"
"/st/snw/sock.mp3"            ,"sock"               ,"A2"   ,"zokni"
"/st/snw/suit.mp3"            ,"suit"               ,"A2"   ,"öltöny; kosztüm"
"/st/snw/sweater.mp3"         ,"sweater"            ,"A2"   ,"pulóver"
"/st/snw/swimming_costume.mp3","swimming costume"   ,"A2"   ,"fürdőruha"
"/st/snw/tights.mp3"          ,"tights"             ,"A2"   ,"harisnyanadrág"
"/st/snw/wool.mp3"            ,"wool"               ,"A2"   ,"gyapjú"
"/st/snw/warm.mp3"            ,"warm"               ,"A2"   ,"meleg"
"/st/snk/r141.mp3"            ,"a change of clothes","A2"   ,"egy váltás ruha"
"/st/snw/belt.mp3"            ,"belt"               ,"A2"   ,"öv, szíj, derékszíj, nadrágszíj"
"/st/snw/boot.mp3"            ,"boot"               ,"A2"   ,"csizma, bakancs, magas szárú cipő"
"/st/snw/earring.mp3"         ,"earring"            ,"A2"   ,"fülbevaló"
"/st/snw/glove.mp3"           ,"glove"              ,"A2"   ,"kesztyű"
"/st/snw/handbag.mp3"         ,"handbag"            ,"A2"   ,"női táska, retikül"
"/st/snw/jewellery.mp3"       ,"jewellery"          ,"A2"   ,"ékszerek"
"/st/snw/necklace.mp3"        ,"necklace"           ,"A2"   ,"nyaklánc"
"/st/snw/pocket.mp3"          ,"pocket"             ,"A2"   ,"zseb"
"/st/snw/purse.mp3"           ,"purse"              ,"A2"   ,"pénztárca"
"/st/snw/ring.mp3"            ,"ring"               ,"A2"   ,"gyűrű"
"/st/snw/sunglasses.mp3"      ,"sunglasses"         ,"A2"   ,"napszemüveg"
"/st/snw/tie.mp3"             ,"tie"                ,"A2"   ,"nyakkendő"
"/st/snw/trainer.mp3"         ,"trainer"            ,"A2"   ,"edzőcipő, sportcipő"
"/st/snw/umbrella.mp3"        ,"umbrella"           ,"A2"   ,"esernyő"
"/st/snw/wallet.mp3"          ,"wallet"             ,"A2"   ,"levéltárca, tárca, pénztárca"
