"AUDIOFILE"                 ,"FOREIGNWORD"       ,"LEVEL","NATIVEWORD"
"/st/snw/close_verb.mp3"    ,"close"             ,"B2"   ,"bezár, becsuk"
"/st/snw/establish.mp3"     ,"establish"         ,"B2"   ,"alapít, felállít, létesít"
"/st/snw/finance.mp3"       ,"finance"           ,"B2"   ,"finanszíroz, pénzel"
"/st/snw/form.mp3"          ,"form"              ,"B2"   ,"alakít, megalakít"
"/st/snw/found.mp3"         ,"found"             ,"B2"   ,"alapít, létesít"
"/st/snw/invest.mp3"        ,"invest"            ,"B2"   ,"befektet"
"/st/snw/open.mp3"          ,"open"              ,"B2"   ,"megnyit; megnyílik"
"/st/snw/operate.mp3"       ,"operate"           ,"B2"   ,"működik; működtet"
"/st/snw/start.mp3"         ,"start"             ,"B2"   ,"elindul; alapít, elindít"
"/st/snw/budget.mp3"        ,"budget"            ,"B2"   ,"költségvetés, büdzsé"
"/st/snw/collapse.mp3"      ,"collapse"          ,"B2"   ,"összeomlás"
"/st/snw/corporation.mp3"   ,"corporation"       ,"B2"   ,"társaság, vállalat, részvénytársaság"
"/st/snw/crisis.mp3"        ,"crisis"            ,"B2"   ,"válság, krízis"
"/st/snw/division.mp3"      ,"division"          ,"B2"   ,"osztály, részleg"
"/st/snw/economy.mp3"       ,"economy"           ,"B2"   ,"gazdaság, gazdasági élet/helyzet/rendszer"
"/st/snw/expense.mp3"       ,"expense"           ,"B2"   ,"ráfordítás; költség"
"/st/snw/finance.mp3"       ,"finance"           ,"B2"   ,"pénzügy"
"/st/snw/headquarters.mp3"  ,"headquarters"      ,"B2"   ,"székház ; főhadiszállás"
"/st/snw/inflation.mp3"     ,"inflation"         ,"B2"   ,"infláció, áremelkedés"
"/st/snw/investment.mp3"    ,"investment"        ,"B2"   ,"befektetés, beruházás"
"/st/snw/investor.mp3"      ,"investor"          ,"B2"   ,"befektető"
"/st/snw/operator.mp3"      ,"operator"          ,"B2"   ,"vállalkozó, vállalkozás, vállalat"
"/st/snw/partner.mp3"       ,"partner"           ,"B2"   ,"társ, üzlettárs"
"/st/snw/partnership.mp3"   ,"partnership"       ,"B2"   ,"társas viszony, partneri kapcsolat ; társas vállalkozás"
"/st/snw/profit.mp3"        ,"profit"            ,"B2"   ,"profit, haszon, nyereség"
"/st/snw/recession.mp3"     ,"recession"         ,"B2"   ,"visszaesés, recesszió"
"/st/snw/representative.mp3","representative"    ,"B2"   ,"képviselő, megbízott"
"/st/snw/resource.mp3"      ,"resource"          ,"B2"   ,"erőforrás; anyagi eszközök/források"
"/st/snw/economic.mp3"      ,"economic"          ,"B2"   ,"gazdasági"
