"AUDIOFILE"                 ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/interest.mp3"      ,"interest"                             ,"B1"   ,"érdekel vkit vmi"
"/st/snw/understand.mp3"    ,"understand"                           ,"B1"   ,"ért, megért vkit"
"/st/snw/atmosphere.mp3"    ,"atmosphere"                           ,"B1"   ,"légkör, hangulat"
"/st/snw/feeling.mp3"       ,"feeling"                              ,"B1"   ,"érzés, érzelem"
"/st/snw/heart.mp3"         ,"heart"                                ,"B1"   ,"szív"
"/st/snw/interest.mp3"      ,"interest"                             ,"B1"   ,"érdeklődés vmi iránt"
"/st/snw/interest.mp3"      ,"interest"                             ,"B1"   ,"érdeklődési terület, vkit érdeklő dolgok"
"/st/snw/interest.mp3"      ,"interest"                             ,"B1"   ,"érdekesség"
"/st/snw/mood.mp3"          ,"mood"                                 ,"B1"   ,"hangulat, kedv"
"/st/snw/nightmare.mp3"     ,"nightmare"                            ,"B1"   ,"rémálom"
"/st/snw/nightmare.mp3"     ,"nightmare"                            ,"B1"   ,"rémálom; rossz álom"
"/st/snw/sense.mp3"         ,"sense"                                ,"B1"   ,"érzés, érzet"
"/st/snw/shock.mp3"         ,"shock"                                ,"B1"   ,"megrázkódtatás; sokk"
"/st/snw/curious.mp3"       ,"curious"                              ,"B1"   ,"kíváncsi; különös"
"/st/snw/frightened.mp3"    ,"frightened"                           ,"B1"   ,"ijedt, rémült; megijed/fél vkitől/vmitől"
"/st/snw/frightening.mp3"   ,"frightening"                          ,"B1"   ,"ijesztő, rémisztő"
"/st/snw/scared.mp3"        ,"scared"                               ,"B1"   ,"rémült, megrémült; fél vkitől/vmitől"
"/st/snw/scary.mp3"         ,"scary"                                ,"B1"   ,"ijesztő"
"/st/snw/shocked.mp3"       ,"shocked"                              ,"B1"   ,"megdöbbent"
"/st/snw/shocking.mp3"      ,"shocking"                             ,"B1"   ,"megdöbbentő; megbotránkoztató; botrányos"
"/st/snw/terrified.mp3"     ,"terrified"                            ,"B1"   ,"rémült, megrémült"
"/st/snw/curiously.mp3"     ,"curiously"                            ,"B1"   ,"kíváncsian"
"/st/snk/r416.mp3"          ,"attract attention/interest, etc."     ,"B1"   ,"figyelmet/érdeklődést kelt fel"
"/st/snk/r1147.mp3"         ,"feel like/as if"                      ,"B1"   ,"úgy érzi mintha ..."
"/st/snk/r1149.mp3"         ,"feelings"                             ,"B1"   ,"érzések"
"/st/snw/admire.mp3"        ,"admire"                               ,"B1"   ,"csodál, megcsodál vmit/vkit"
"/st/snw/attract.mp3"       ,"attract"                              ,"B1"   ,"vonz vkit/vmit"
"/st/snw/dislike.mp3"       ,"dislike"                              ,"B1"   ,"nem szeret vkit/vmit, idegenkedik vkitől/vmitől"
"/st/snw/fancy.mp3"         ,"fancy"                                ,"B1"   ,"kíván/megkíván vmit, van kedve vmihez"
"/st/snw/dream.mp3"         ,"dream"                                ,"B1"   ,"álom"
"/st/snw/favourite.mp3"     ,"favourite"                            ,"B1"   ,"kedvenc"
"/st/snw/disgusting.mp3"    ,"disgusting"                           ,"B1"   ,"undorító, gusztustalan; felháborító"
"/st/snw/keen.mp3"          ,"keen"                                 ,"B1"   ,"lelkes, buzgó"
"/st/snw/nasty.mp3"         ,"nasty"                                ,"B1"   ,"kellemetlen, csúnya ; undorító"
"/st/snw/negative.mp3"      ,"negative"                             ,"B1"   ,"negatív, elutasító"
"/st/snk/r1829.mp3"         ,"look forward to sth/doing sth"        ,"B1"   ,"nagyon/alig vár  vmit"
"/st/snk/r497.mp3"          ,"be dying for/to do sth"               ,"B1"   ,"majd meghal , sóvárog  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r505.mp3"          ,"be fond of sb/sth"                    ,"B1"   ,"kedvel  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r561.mp3"          ,"be mad about sb/sth"                  ,"B1"   ,"bolondul , odavan  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r817.mp3"          ,"can't stand sb/sth"                   ,"B1"   ,"ki nem áll/állhat , utál  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r1146.mp3"         ,"feel like sth/doing sth"              ,"B1"   ,"kedve van  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r1800.mp3"         ,"likes and dislikes"                   ,"B1"   ,"szeretem-nem szeretem dolgok  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r2264.mp3"         ,"rather than"                          ,"B1"   ,"inkább mint, helyett  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snk/r3052.mp3"         ,"would rather"                         ,"B1"   ,"inkább, szívesebben  vmiért vmiért  vkit/vmit  vkiért/vmiért vkiért/vmiért  vkit/vmit vkit/vmit  vmihez"
"/st/snw/please.mp3"        ,"please"                               ,"B1"   ,"örömet szerez vkinek"
"/st/snw/smile.mp3"         ,"smile"                                ,"B1"   ,"mosolyog; rámosolyog"
"/st/snw/happiness.mp3"     ,"happiness"                            ,"B1"   ,"boldogság, elégedettség"
"/st/snw/laugh.mp3"         ,"laugh"                                ,"B1"   ,"nevetés"
"/st/snw/pleasure.mp3"      ,"pleasure"                             ,"B1"   ,"élvezet"
"/st/snw/pleasure.mp3"      ,"pleasure"                             ,"B1"   ,"élvezet, szórakozás"
"/st/snw/smile.mp3"         ,"smile"                                ,"B1"   ,"mosoly, mosolygás"
"/st/snw/tear_2.mp3"        ,"tear"                                 ,"B1"   ,"könny"
"/st/snw/cheerful.mp3"      ,"cheerful"                             ,"B1"   ,"vidám"
"/st/snw/delighted.mp3"     ,"delighted"                            ,"B1"   ,"nagyon boldog"
