"AUDIOFILE"                ,"FOREIGNWORD"                     ,"LEVEL","NATIVEWORD"
"/st/snw/attack.mp3"       ,"attack"                          ,"C2"   ,"támad, megtámad"
"/st/snw/contract_verb.mp3","contract"                        ,"C2"   ,"elkap"
"/st/snw/infect.mp3"       ,"infect"                          ,"C2"   ,"megfertőz vmit"
"/st/snw/succumb.mp3"      ,"succumb"                         ,"C2"   ,"megadja magát"
"/st/snw/vomit.mp3"        ,"vomit"                           ,"C2"   ,"hány"
"/st/snw/alcoholic.mp3"    ,"alcoholic"                       ,"C2"   ,"alkoholista"
"/st/snw/blister.mp3"      ,"blister"                         ,"C2"   ,"hólyag"
"/st/snw/burial.mp3"       ,"burial"                          ,"C2"   ,"temetés"
"/st/snw/case.mp3"         ,"case"                            ,"C2"   ,"orvosi eset, megbetegedés"
"/st/snw/complex.mp3"      ,"complex"                         ,"C2"   ,"komplexus"
"/st/snw/complication.mp3" ,"complication"                    ,"C2"   ,"szövődmény"
"/st/snw/constitution.mp3" ,"constitution"                    ,"C2"   ,"alkat ; összetétel"
"/st/snw/corpse.mp3"       ,"corpse"                          ,"C2"   ,"holttest"
"/st/snw/diarrhoea.mp3"    ,"diarrhoea"                       ,"C2"   ,"hasmenés"
"/st/snw/discomfort.mp3"   ,"discomfort"                      ,"C2"   ,"egy kis fájdalom"
"/st/snw/insomnia.mp3"     ,"insomnia"                        ,"C2"   ,"álmatlanság"
"/st/snw/mortality.mp3"    ,"mortality"                       ,"C2"   ,"halálozás, halandóság, halálozási arányszám; halandóság"
"/st/snw/plague.mp3"       ,"plague"                          ,"C2"   ,"járvány; pestis; tömeges elszaporodás"
"/st/snw/rash.mp3"         ,"rash"                            ,"C2"   ,"kiütés, bőrkiütés"
"/st/snw/resistance.mp3"   ,"resistance"                      ,"C2"   ,"ellenállás"
"/st/snw/sufferer.mp3"     ,"sufferer"                        ,"C2"   ,"szenvedő"
"/st/snw/transmission.mp3" ,"transmission"                    ,"C2"   ,"átadás, továbbadás; továbbítás"
"/st/snw/wreck.mp3"        ,"wreck"                           ,"C2"   ,"roncs"
"/st/snw/alcoholic.mp3"    ,"alcoholic"                       ,"C2"   ,"alkoholista, iszákos"
"/st/snw/chronic.mp3"      ,"chronic"                         ,"C2"   ,"krónikus"
