"AUDIOFILE"                ,"FOREIGNWORD"                                ,"LEVEL","NATIVEWORD"
"/st/snw/anyhow.mp3"       ,"anyhow"                                     ,"B2"   ,"de mégis, de azért"
"/st/snw/neither.mp3"      ,"neither"                                    ,"B2"   ,"sem, se"
"/st/snw/nevertheless.mp3" ,"nevertheless"                               ,"B2"   ,"annak ellenére"
"/st/snw/nor.mp3"          ,"nor"                                        ,"B2"   ,"se, sem"
"/st/snw/if.mp3"           ,"if"                                         ,"B2"   ,"ha ... volna"
"/st/snw/provided.mp3"     ,"provided"                                   ,"B2"   ,"feltéve hogy,  abban az esetben, ha"
"/st/snw/though.mp3"       ,"though"                                     ,"B2"   ,"de"
"/st/snw/when.mp3"         ,"when"                                       ,"B2"   ,"amikor"
"/st/snw/whereas.mp3"      ,"whereas"                                    ,"B2"   ,"míg"
"/st/snw/while.mp3"        ,"while"                                      ,"B2"   ,"bár, habár, noha, jóllehet; annak ellenére hogy"
"/st/snk/r1000.mp3"        ,"despite the fact that"                      ,"B2"   ,"annak ellenére hogy ..."
"/st/snk/r1090.mp3"        ,"even if"                                    ,"B2"   ,"még akkor is/se ha ...; még ha ... is"
"/st/snk/r1092.mp3"        ,"even though"                                ,"B2"   ,"annak ellenére"
"/st/snk/r1496.mp3"        ,"if so"                                      ,"B2"   ,"ebben az esetben"
"/st/snk/r1597.mp3"        ,"in that case"                               ,"B2"   ,"abban az esetben"
"/st/snk/r1948.mp3"        ,"neither ... nor"                            ,"B2"   ,"sem ... sem"
"/st/snk/r1996.mp3"        ,"not only"                                   ,"B2"   ,"nem csak ... hanem ..."
"/st/snk/r2038.mp3"        ,"on condition that"                          ,"B2"   ,"azzal a feltétellel"
"/st/snk/r2063.mp3"        ,"on the one hand ... on the other hand"      ,"B2"   ,"egyrészt ... másrészt ..."
"/st/snk/r2096.mp3"        ,"or else"                                    ,"B2"   ,"mert különben, vagy"
"/st/snk/r2793.mp3"        ,"the other way round/around"                 ,"B2"   ,"fordítva"
"/st/snw/affect.mp3"       ,"affect"                                     ,"B2"   ,"hatást gyakorol vmire/vkire, befolyásol vmit/vkit"
"/st/snw/cause.mp3"        ,"cause"                                      ,"B2"   ,"okoz vmit; késztet vmire"
"/st/snw/produce_verb.mp3" ,"produce"                                    ,"B2"   ,"előidéz, okoz vmit"
"/st/snw/basis.mp3"        ,"basis"                                      ,"B2"   ,"alap"
"/st/snw/consequence.mp3"  ,"consequence"                                ,"B2"   ,"következmény"
"/st/snw/impact.mp3"       ,"impact"                                     ,"B2"   ,"hatás, befolyás"
"/st/snw/manner.mp3"       ,"manner"                                     ,"B2"   ,"mód"
"/st/snw/means.mp3"        ,"means"                                      ,"B2"   ,"eszköz, mód"
"/st/snw/system.mp3"       ,"system"                                     ,"B2"   ,"rendszer, módszer, szisztéma"
"/st/snw/consequently.mp3" ,"consequently"                               ,"B2"   ,"következésképpen"
"/st/snw/thus.mp3"         ,"thus"                                       ,"B2"   ,"ennek következtében; ilyen módon"
"/st/snw/over.mp3"         ,"over"                                       ,"B2"   ,"vmin át"
"/st/snw/towards.mp3"      ,"towards"                                    ,"B2"   ,"vki/vmi iránt, kapcsolatban vkivel/vmivel"
"/st/snw/now.mp3"          ,"now"                                        ,"B2"   ,"most hogy"
"/st/snk/r1763.mp3"        ,"lead to sth"                                ,"B2"   ,"eredményez  vmit  vmit"
"/st/snk/r2305.mp3"        ,"result in sth"                              ,"B2"   ,"eredményez, okoz  vmit  vmit"
"/st/snk/r335.mp3"         ,"as a result of sth"                         ,"B2"   ,"következményeként , miatt  vminek vmi"
"/st/snk/r2086.mp3"        ,"one way or another"                         ,"B2"   ,"valahogyan  vminek vmi"
"/st/snk/r2087.mp3"        ,"one way or the other"                       ,"B2"   ,"valahogyan  vminek vmi"
"/st/snw/cause.mp3"        ,"cause"                                      ,"B2"   ,"ok"
"/st/snw/motive.mp3"       ,"motive"                                     ,"B2"   ,"indíték, indítóok, cél"
"/st/snw/point.mp3"        ,"point"                                      ,"B2"   ,"értelem, cél, az értelme/célja vminek"
"/st/snw/especially.mp3"   ,"especially"                                 ,"B2"   ,"kifejezetten"
"/st/snw/somehow.mp3"      ,"somehow"                                    ,"B2"   ,"valahogy, valahogyan"
"/st/snw/after.mp3"        ,"after"                                      ,"B2"   ,"miután, mivel hogy"
"/st/snw/from.mp3"         ,"from"                                       ,"B2"   ,"-tól, -től, miatt"
"/st/snw/out_of.mp3"       ,"out of"                                     ,"B2"   ,"-ből, -ből"
"/st/snw/owing_to.mp3"     ,"owing to"                                   ,"B2"   ,"vmi miatt, következtében"
"/st/snw/with.mp3"         ,"with"                                       ,"B2"   ,"-tól, -től"
"/st/snk/r452.mp3"         ,"be aimed at sb"                             ,"B2"   ,"célba vesz  vkit"
"/st/snk/r492.mp3"         ,"be designed for/to do sth"                  ,"B2"   ,"célra tervezték  vkit"
"/st/snk/r1213.mp3"        ,"for the sake of sb/sth; for sb's/sth's sake","B2"   ,"a kedvéért , miatt  vkit"
"/st/snk/r1632.mp3"        ,"in view of sth"                             ,"B2"   ,"tekintettel  vkit"
"/st/snk/r2032.mp3"        ,"on account of sth"                          ,"B2"   ,"miatt  vkit"
"/st/snk/r2477.mp3"        ,"so as to"                                   ,"B2"   ,"azért hogy ..., azzal a szándékkal  vkit"
"/st/snk/r109.mp3"         ,"What ...for?"                               ,"B2"   ,"milyen célra? minek?  vkit"
"/st/snw/correspond.mp3"   ,"correspond"                                 ,"B2"   ,"egyezik, megegyezik vmivel, megfelel vminek"
"/st/snw/similarity.mp3"   ,"similarity"                                 ,"B2"   ,"hasonlóság; hasonlatosság"
"/st/snw/identical.mp3"    ,"identical"                                  ,"B2"   ,"egyforma, ugyanolyan"
"/st/snw/alike.mp3"        ,"alike"                                      ,"B2"   ,"hasonlóan; egyformán"
"/st/snw/equally.mp3"      ,"equally"                                    ,"B2"   ,"egyformán, egyenlően"
"/st/snk/r1177.mp3"        ,"fit in with sth"                            ,"B2"   ,"összeillik  vmivel"
"/st/snk/r2815.mp3"        ,"the same"                                   ,"B2"   ,"ugyanúgy"
"/st/snk/r2815.mp3"        ,"the same"                                   ,"B2"   ,"ugyanolyan"
"/st/snw/differ.mp3"       ,"differ"                                     ,"B2"   ,"különbözik, eltér"
"/st/snw/distinguish.mp3"  ,"distinguish"                                ,"B2"   ,"megkülönböztet vmit, különbséget tesz vmi között"
"/st/snw/distinguish.mp3"  ,"distinguish"                                ,"B2"   ,"megkülönbözteti vmi"
"/st/snw/vary.mp3"         ,"vary"                                       ,"B2"   ,"különbözik"
"/st/snw/contrast_noun.mp3","contrast"                                   ,"B2"   ,"különbség, kontraszt; ellentét"
"/st/snw/distinction.mp3"  ,"distinction"                                ,"B2"   ,"különbség ; megkülönböztetés"
"/st/snw/gap.mp3"          ,"gap"                                        ,"B2"   ,"szakadék"
"/st/snw/variation.mp3"    ,"variation"                                  ,"B2"   ,"eltérés, különbség"
"/st/snw/version.mp3"      ,"version"                                    ,"B2"   ,"változat, verzió vmiből"
