"AUDIOFILE"                ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/ache.mp3"         ,"ache"                             ,"B2"   ,"fáj, fájdalmat érez"
"/st/snw/collapse.mp3"     ,"collapse"                         ,"B2"   ,"összeesik"
"/st/snw/develop.mp3"      ,"develop"                          ,"B2"   ,"kap; felvesz"
"/st/snw/faint.mp3"        ,"faint"                            ,"B2"   ,"elájul"
"/st/snw/addict.mp3"       ,"addict"                           ,"B2"   ,"függő, káros szenvedély rabja"
"/st/snw/addiction.mp3"    ,"addiction"                        ,"B2"   ,"függőség"
"/st/snw/breakdown.mp3"    ,"breakdown"                        ,"B2"   ,"ideg-összeroppanás, idegösszeomlás"
"/st/snw/bug.mp3"          ,"bug"                              ,"B2"   ,"enyhe vírus"
"/st/snw/cemetery.mp3"     ,"cemetery"                         ,"B2"   ,"temető"
"/st/snw/condition.mp3"    ,"condition"                        ,"B2"   ,"betegség"
"/st/snw/consciousness.mp3","consciousness"                    ,"B2"   ,"eszmélet"
"/st/snw/depression.mp3"   ,"depression"                       ,"B2"   ,"lehangoltság; depresszió"
"/st/snw/disability.mp3"   ,"disability"                       ,"B2"   ,"rokkantság,  fogyatékosság"
"/st/snw/funeral.mp3"      ,"funeral"                          ,"B2"   ,"temetés"
"/st/snw/grave.mp3"        ,"grave"                            ,"B2"   ,"sír"
"/st/snw/illness.mp3"      ,"illness"                          ,"B2"   ,"betegség"
"/st/snw/infection.mp3"    ,"infection"                        ,"B2"   ,"fertőzés"
"/st/snw/loss.mp3"         ,"loss"                             ,"B2"   ,"elvesztés"
"/st/snw/obsession.mp3"    ,"obsession"                        ,"B2"   ,"megszállottság, rögeszme"
"/st/snw/reaction.mp3"     ,"reaction"                         ,"B2"   ,"reakció"
"/st/snw/sickness.mp3"     ,"sickness"                         ,"B2"   ,"betegség; émelygés"
"/st/snw/stroke.mp3"       ,"stroke"                           ,"B2"   ,"agyvérzés"
"/st/snw/suicide.mp3"      ,"suicide"                          ,"B2"   ,"öngyilkosság"
