"AUDIOFILE"                  ,"FOREIGNWORD"                                ,"LEVEL","NATIVEWORD"
"/st/snw/adopt.mp3"          ,"adopt"                                      ,"B2"   ,"örökbe fogad, adoptál vkit"
"/st/snw/propose.mp3"        ,"propose"                                    ,"B2"   ,"megkéri a kezét vkinek"
"/st/snw/raise.mp3"          ,"raise"                                      ,"B2"   ,"felnevel"
"/st/snw/adoption.mp3"       ,"adoption"                                   ,"B2"   ,"örökbefogadás"
"/st/snw/ancestor.mp3"       ,"ancestor"                                   ,"B2"   ,"ős, előd"
"/st/snw/brother-in-law.mp3" ,"brother-in-law"                             ,"B2"   ,"sógor"
"/st/snw/daughter-in-law.mp3","daughter-in-law"                            ,"B2"   ,"meny, menye vkinek"
"/st/snw/father-in-law.mp3"  ,"father-in-law"                              ,"B2"   ,"após"
"/st/snw/mother-in-law.mp3"  ,"mother-in-law"                              ,"B2"   ,"anyós"
"/st/snw/nursery.mp3"        ,"nursery"                                    ,"B2"   ,"bölcsőde"
"/st/snw/proposal.mp3"       ,"proposal"                                   ,"B2"   ,"leánykérés, házassági ajánlat"
"/st/snw/sister-in-law.mp3"  ,"sister-in-law"                              ,"B2"   ,"sógornő"
"/st/snw/son-in-law.mp3"     ,"son-in-law"                                 ,"B2"   ,"vő, veje vkinek"
"/st/snw/stepfather.mp3"     ,"stepfather"                                 ,"B2"   ,"mostohaapa, nevelőapa"
"/st/snw/stepmother.mp3"     ,"stepmother"                                 ,"B2"   ,"mostohaanya, nevelőanya"
"/st/snw/upbringing.mp3"     ,"upbringing"                                 ,"B2"   ,"nevelés, neveltetés"
"/st/snw/adopted.mp3"        ,"adopted"                                    ,"B2"   ,"örökbe fogadott, adoptált"
"/st/snw/caring.mp3"         ,"caring"                                     ,"B2"   ,"gondoskodó"
"/st/snw/related.mp3"        ,"related"                                    ,"B2"   ,"rokon vkivel, rokoni kapcsolatban levő"
"/st/snk/r829.mp3"           ,"care for sb/sth"                            ,"B2"   ,"gondoskodik , gondoz  vkiről vkit/vmit"
"/st/snk/r499.mp3"           ,"be expecting (a baby)"                      ,"B2"   ,"babát vár"
"/st/snk/r1323.mp3"          ,"give birth"                                 ,"B2"   ,"szül"
"/st/snw/accept.mp3"         ,"accept"                                     ,"B2"   ,"befogad; felvesz"
"/st/snw/gather.mp3"         ,"gather"                                     ,"B2"   ,"gyűlik vki/vmi köré, összegyűlik; összegyűjt vkiket"
"/st/snw/mix.mp3"            ,"mix"                                        ,"B2"   ,"elvegyül ; érintkezik"
