"AUDIOFILE"                   ,"FOREIGNWORD"               ,"LEVEL","NATIVEWORD"
"/st/snw/move.mp3"            ,"move"                      ,"B1"   ,"elköltözik;  változtat"
"/st/snw/rent.mp3"            ,"rent"                      ,"B1"   ,"bérbe ad"
"/st/snw/balcony.mp3"         ,"balcony"                   ,"B1"   ,"erkély"
"/st/snw/bell.mp3"            ,"bell"                      ,"B1"   ,"csengő"
"/st/snw/neighbourhood.mp3"   ,"neighbourhood"             ,"B1"   ,"környék; környékbeliek"
"/st/snw/step.mp3"            ,"step"                      ,"B1"   ,"lépcsőfok"
"/st/snw/study.mp3"           ,"study"                     ,"B1"   ,"dolgozószoba"
"/st/snw/the_first_floor.mp3" ,"the first floor"           ,"B1"   ,"első emelet"
"/st/snw/the_ground_floor.mp3","the ground floor"          ,"B1"   ,"földszint"
"/st/snw/downstairs_adj.mp3"  ,"downstairs"                ,"B1"   ,"lenti"
"/st/snw/first-floor.mp3"     ,"first-floor"               ,"B1"   ,"első emeleti"
"/st/snw/next-door.mp3"       ,"next-door"                 ,"B1"   ,"szomszéd"
"/st/snw/upstairs_adj.mp3"    ,"upstairs"                  ,"B1"   ,"emeleti"
"/st/snw/next_door.mp3"       ,"next door"                 ,"B1"   ,"a szomszédban"
"/st/snk/r1938.mp3"           ,"move in"                   ,"B1"   ,"beköltözik  vhova  vhonnét"
"/st/snk/r1940.mp3"           ,"move out"                  ,"B1"   ,"kiköltözik  vhova  vhonnét"
"/st/snk/r1937.mp3"           ,"move house"                ,"B1"   ,"elköltözik"
"/st/snw/decorate.mp3"        ,"decorate"                  ,"B1"   ,"díszít vmit"
"/st/snw/chest_of_drawers.mp3","chest of drawers"          ,"B1"   ,"fiókos ruhásszekrény, sublót, komód"
"/st/snw/cover.mp3"           ,"cover"                     ,"B1"   ,"borító, huzat"
"/st/snw/cushion.mp3"         ,"cushion"                   ,"B1"   ,"párna, díszpárna"
"/st/snw/design.mp3"          ,"design"                    ,"B1"   ,"minta, dísz"
"/st/snw/disc.mp3"            ,"disc"                      ,"B1"   ,"lemez, hanglemez, CD"
"/st/snw/duvet.mp3"           ,"duvet"                     ,"B1"   ,"paplan"
"/st/snw/remote_control.mp3"  ,"remote control"            ,"B1"   ,"távirányító ; távirányítás"
"/st/snw/rug.mp3"             ,"rug"                       ,"B1"   ,"szőnyeg; takaró"
"/st/snw/sheet.mp3"           ,"sheet"                     ,"B1"   ,"lepedő"
"/st/snw/vase.mp3"            ,"vase"                      ,"B1"   ,"váza"
"/st/snw/wardrobe.mp3"        ,"wardrobe"                  ,"B1"   ,"ruhaszekrény"
"/st/snw/alarm.mp3"           ,"alarm"                     ,"B1"   ,"ébresztő"
"/st/snw/basket.mp3"          ,"basket"                    ,"B1"   ,"kosár"
"/st/snw/bin.mp3"             ,"bin"                       ,"B1"   ,"szemétvödör, kuka"
"/st/snw/bucket.mp3"          ,"bucket"                    ,"B1"   ,"vödör"
"/st/snw/calculator.mp3"      ,"calculator"                ,"B1"   ,"számológép, kalkulátor"
"/st/snw/candle.mp3"          ,"candle"                    ,"B1"   ,"gyertya"
"/st/snw/dishwasher.mp3"      ,"dishwasher"                ,"B1"   ,"mosogatógép"
"/st/snw/dustbin.mp3"         ,"dustbin"                   ,"B1"   ,"szemetes kuka"
"/st/snw/equipment.mp3"       ,"equipment"                 ,"B1"   ,"felszerelés"
"/st/snw/frame.mp3"           ,"frame"                     ,"B1"   ,"keret"
"/st/snw/freezer.mp3"         ,"freezer"                   ,"B1"   ,"fagyasztó, mélyhűtő"
"/st/snw/frying_pan.mp3"      ,"frying pan"                ,"B1"   ,"nyeles serpenyő"
"/st/snw/grill.mp3"           ,"grill"                     ,"B1"   ,"grillező, grillsütő"
"/st/snw/hairdryer.mp3"       ,"hairdryer"                 ,"B1"   ,"hajszárító"
"/st/snw/iron.mp3"            ,"iron"                      ,"B1"   ,"vasaló"
"/st/snw/jar.mp3"             ,"jar"                       ,"B1"   ,"üveg, befőttesüveg"
"/st/snw/jug.mp3"             ,"jug"                       ,"B1"   ,"kancsó; korsó; köcsög"
"/st/snw/kettle.mp3"          ,"kettle"                    ,"B1"   ,"vízforraló kanna"
"/st/snw/kit.mp3"             ,"kit"                       ,"B1"   ,"felszerelés, készlet"
"/st/snw/ladder.mp3"          ,"ladder"                    ,"B1"   ,"létra"
"/st/snw/lock.mp3"            ,"lock"                      ,"B1"   ,"zár; lakat"
"/st/snw/oven.mp3"            ,"oven"                      ,"B1"   ,"sütő"
"/st/snw/pan.mp3"             ,"pan"                       ,"B1"   ,"edény, főzőedény, lábas"
"/st/snw/pin.mp3"             ,"pin"                       ,"B1"   ,"gombostű"
"/st/snw/pot.mp3"             ,"pot"                       ,"B1"   ,"lábas; edény; virágcserép"
"/st/snw/pump.mp3"            ,"pump"                      ,"B1"   ,"pumpa; szivattyú"
"/st/snw/rubbish.mp3"         ,"rubbish"                   ,"B1"   ,"hulladék, szemét"
"/st/snw/saucepan.mp3"        ,"saucepan"                  ,"B1"   ,"lábos"
"/st/snw/saucer.mp3"          ,"saucer"                    ,"B1"   ,"csészealj"
"/st/snw/stick.mp3"           ,"stick"                     ,"B1"   ,"gally, ág; bot, pálca;  rúd"
"/st/snw/powerful.mp3"        ,"powerful"                  ,"B1"   ,"erős"
"/st/snw/sharp.mp3"           ,"sharp"                     ,"B1"   ,"éles ; hegyes"
"/st/snk/r2875.mp3"           ,"throw away/out ↔ sth"      ,"B1"   ,"eldob, kidob"
"/st/snk/r1283.mp3"           ,"get rid of sth"            ,"B1"   ,"megszabadul  vmitől"
"/st/snk/r2990.mp3"           ,"walking/hockey, etc. stick","B1"   ,"sétapálca/hokiütő/stb.  vmitől"
"/st/snw/burn.mp3"            ,"burn"                      ,"B1"   ,"ég, lángol"
"/st/snw/light.mp3"           ,"light"                     ,"B1"   ,"meggyújt; meggyullad"
"/st/snw/air_conditioning.mp3","air conditioning"          ,"B1"   ,"légkondicionálás"
"/st/snw/basin.mp3"           ,"basin"                     ,"B1"   ,"mosdó, mosdókagyló"
"/st/snw/central_heating.mp3" ,"central heating"           ,"B1"   ,"központi fűtés"
"/st/snw/energy.mp3"          ,"energy"                    ,"B1"   ,"energia"
"/st/snw/fan.mp3"             ,"fan"                       ,"B1"   ,"ventilátor; legyező"
"/st/snw/fire.mp3"            ,"fire"                      ,"B1"   ,"tűz"
"/st/snw/heater.mp3"          ,"heater"                    ,"B1"   ,"fűtőberendezés"
"/st/snw/lighter.mp3"         ,"lighter"                   ,"B1"   ,"öngyújtó"
"/st/snw/pipe.mp3"            ,"pipe"                      ,"B1"   ,"cső, vezeték, csővezeték"
"/st/snw/plug.mp3"            ,"plug"                      ,"B1"   ,"villásdugó"
"/st/snw/plug.mp3"            ,"plug"                      ,"B1"   ,"dugó"
"/st/snw/power.mp3"           ,"power"                     ,"B1"   ,"energia; villamos energia"
"/st/snw/system.mp3"          ,"system"                    ,"B1"   ,"rendszer, hálózat"
"/st/snw/tap.mp3"             ,"tap"                       ,"B1"   ,"csap, vízcsap"
"/st/snw/burning.mp3"         ,"burning"                   ,"B1"   ,"égő, lángoló; égető, perzselő"
"/st/snw/electric.mp3"        ,"electric"                  ,"B1"   ,"villany-, áram-"
"/st/snw/electrical.mp3"      ,"electrical"                ,"B1"   ,"elektromos, villamos"
"/st/snk/r717.mp3"            ,"blow out ↔ (sth)"          ,"B1"   ,"elfúj, elolt ; elalszik"
"/st/snk/r1364.mp3"           ,"go out"                    ,"B1"   ,"kialszik, elalszik"
"/st/snk/r2230.mp3"           ,"put out ↔ sth"             ,"B1"   ,"elolt"
"/st/snw/decorate.mp3"        ,"decorate"                  ,"B1"   ,"kifest; tapétáz"
"/st/snw/fix.mp3"             ,"fix"                       ,"B1"   ,"megjavít"
"/st/snw/install.mp3"         ,"install"                   ,"B1"   ,"beszerel, felszerel; üzembe helyez"
"/st/snw/mend.mp3"            ,"mend"                      ,"B1"   ,"javít, megjavít"
"/st/snw/stop.mp3"            ,"stop"                      ,"B1"   ,"megáll, megállít"
"/st/snw/button.mp3"          ,"button"                    ,"B1"   ,"gomb, nyomógomb"
"/st/snw/repair.mp3"          ,"repair"                    ,"B1"   ,"javítás"
"/st/snw/switch.mp3"          ,"switch"                    ,"B1"   ,"kapcsoló"
"/st/snw/spare.mp3"           ,"spare"                     ,"B1"   ,"tartalék, pót-; szabad"
"/st/snw/wet.mp3"             ,"wet"                       ,"B1"   ,"nedves"
"/st/snk/r733.mp3"            ,"break down"                ,"B1"   ,"elromlik"
