"AUDIOFILE"                 ,"FOREIGNWORD"                                         ,"LEVEL","NATIVEWORD"
"/st/snw/grip.mp3"          ,"grip"                                                ,"C2"   ,"elfog, magával ragad"
"/st/snw/climate.mp3"       ,"climate"                                             ,"C2"   ,"légkör/hangulat, klíma"
"/st/snw/humour.mp3"        ,"humour"                                              ,"C2"   ,"hangulat, kedv"
"/st/snw/outlet.mp3"        ,"outlet"                                              ,"C2"   ,"levezetés"
"/st/snw/sensibility.mp3"   ,"sensibility"                                         ,"C2"   ,"érzékenység; fogékonyság"
"/st/snw/infectious.mp3"    ,"infectious"                                          ,"C2"   ,"ragályos"
"/st/snw/profound.mp3"      ,"profound"                                            ,"C2"   ,"mély, mélységes"
"/st/snw/sentimental.mp3"   ,"sentimental"                                         ,"C2"   ,"érzelgős, szentimentális"
"/st/snw/sentimental.mp3"   ,"sentimental"                                         ,"C2"   ,"érzelmi"
"/st/snw/spiritually.mp3"   ,"spiritually"                                         ,"C2"   ,"lelkileg, szellemileg"
"/st/snk/r137.mp3"          ,"a bundle of energy/nerves"                           ,"C2"   ,"tele energiával/idegességgel    vkinek"
"/st/snk/r149.mp3"          ,"a display of affection/anger, etc."                  ,"C2"   ,"vonzalom/harag/stb. kimutatása    vkinek"
"/st/snk/r247.mp3"          ,"a wave of hatred/enthusiasm/sadness, etc."           ,"C2"   ,"gyűlölet/lelkesedés/szomorúság/stb. hullám    vkinek"
"/st/snk/r384.mp3"          ,"at heart"                                            ,"C2"   ,"szíve mélyén    vkinek"
"/st/snk/r476.mp3"          ,"be bursting with confidence/joy, etc."               ,"C2"   ,"szétpukkad az önbizalomtól/örömtől/stb.    vkinek"
"/st/snk/r486.mp3"          ,"be consumed by/with sth"                             ,"C2"   ,"elemészti    vkinek"
"/st/snk/r595.mp3"          ,"be overcome by excitement/fear/sadness, etc."        ,"C2"   ,"hatalmába keríti/elfogja az izgalom/félelem/szomorúság/stb.    vkinek"
"/st/snk/r999.mp3"          ,"derive comfort/pleasure, etc. from sth"              ,"C2"   ,"vigaszt/örömet/stb. nyer    vkinek"
"/st/snk/r1221.mp3"         ,"frame of mind"                                       ,"C2"   ,"lelkiállapot, hangulat    vkinek"
"/st/snk/r1383.mp3"         ,"go/run deep"                                         ,"C2"   ,"mélyen bevésődött    vkinek"
"/st/snk/r1752.mp3"         ,"laugh/shout/scream, etc. your head off"              ,"C2"   ,"halálra neveti/kiabálja/sikítozza/stb. magát    vkinek"
"/st/snk/r1900.mp3"         ,"make your blood boil"                                ,"C2"   ,"felforr tőle a vére    vkinek"
"/st/snk/r2127.mp3"         ,"overflow with confidence/happiness/love, etc."       ,"C2"   ,"csordultig van bizakodással/boldogsággal/szerelemmel/stb.    vkinek"
"/st/snk/r2260.mp3"         ,"raise hopes/fears/doubts, etc."                      ,"C2"   ,"reményt/félelmet/kétséget/stb. vált ki    vkinek"
"/st/snk/r2645.mp3"         ,"take sth to heart"                                   ,"C2"   ,"szívére/lelkére vesz    vkinek"
"/st/snk/r2911.mp3"         ,"to sb's disappointment/relief/surprise, etc."        ,"C2"   ,"csalódására/megnyugvására/meglepetésére/stb.    vkinek"
"/st/snw/grip.mp3"          ,"grip"                                                ,"C2"   ,"leköt, magával ragad"
"/st/snw/compulsive.mp3"    ,"compulsive"                                          ,"C2"   ,"érdekfeszítő"
"/st/snw/high-profile.mp3"  ,"high-profile"                                        ,"C2"   ,"nagy figyelmet keltő"
"/st/snw/intriguing.mp3"    ,"intriguing"                                          ,"C2"   ,"érdekes, kíváncsiságot keltő"
"/st/snk/r629.mp3"          ,"be the centre of attention"                          ,"C2"   ,"figyelem központja/középpontja"
"/st/snk/r2825.mp3"         ,"the spotlight"                                       ,"C2"   ,"rivaldafény, figyelem középpontja"
"/st/snw/gasp.mp3"          ,"gasp"                                                ,"C2"   ,"felhördül, eláll a lélegzete"
"/st/snw/alarm.mp3"         ,"alarm"                                               ,"C2"   ,"rémület"
"/st/snw/chill.mp3"         ,"chill"                                               ,"C2"   ,"hideg, hidegség"
"/st/snw/desperation.mp3"   ,"desperation"                                         ,"C2"   ,"végső kétségbeesés"
"/st/snw/dismay.mp3"        ,"dismay"                                              ,"C2"   ,"döbbenet, megdöbbenés"
"/st/snw/gasp.mp3"          ,"gasp"                                                ,"C2"   ,"felhördülés"
"/st/snw/trauma.mp3"        ,"trauma"                                              ,"C2"   ,"megrázkódtatás, trauma"
"/st/snw/appalling.mp3"     ,"appalling"                                           ,"C2"   ,"megdöbbentő"
"/st/snw/desperate.mp3"     ,"desperate"                                           ,"C2"   ,"komoly, borzasztó"
"/st/snw/frantic.mp3"       ,"frantic"                                             ,"C2"   ,"kétségbeesett"
"/st/snw/horrified.mp3"     ,"horrified"                                           ,"C2"   ,"megrémült"
"/st/snw/horrifying.mp3"    ,"horrifying"                                          ,"C2"   ,"rémisztő"
"/st/snw/stunned.mp3"       ,"stunned"                                             ,"C2"   ,"döbbent, megdöbbent"
"/st/snw/traumatic.mp3"     ,"traumatic"                                           ,"C2"   ,"megrázó, traumatikus"
"/st/snk/r1901.mp3"         ,"make your blood run cold"                            ,"C2"   ,"meghűl a vér az ereiben    vkit  vmitől"
"/st/snk/r2381.mp3"         ,"scare the hell/life/living daylights, etc. out of sb","C2"   ,"halálra rémít/ijeszt    vkit  vmitől"
"/st/snk/r2408.mp3"         ,"send shivers/a shiver down your spine"               ,"C2"   ,"végigfut a hátán a hideg    vkit  vmitől"
"/st/snw/thrill.mp3"        ,"thrill"                                              ,"C2"   ,"elragadtat, felvillanyoz"
"/st/snw/buzz.mp3"          ,"buzz"                                                ,"C2"   ,"nagy izgalom/élmény"
"/st/snw/colour.mp3"        ,"colour"                                              ,"C2"   ,"színezet"
"/st/snw/fever.mp3"         ,"fever"                                               ,"C2"   ,"láz, izgalom"
"/st/snw/indifference.mp3"  ,"indifference"                                        ,"C2"   ,"közöny"
"/st/snw/spice.mp3"         ,"spice"                                               ,"C2"   ,"pikáns íz , sava-borsa vminek"
"/st/snw/suspense.mp3"      ,"suspense"                                            ,"C2"   ,"izgatott várakozás, bizonytalanság"
"/st/snw/animated.mp3"      ,"animated"                                            ,"C2"   ,"élénk"
"/st/snw/bland.mp3"         ,"bland"                                               ,"C2"   ,"egyhangú, színtelen"
"/st/snw/blank.mp3"         ,"blank"                                               ,"C2"   ,"üres, kifejezéstelen"
"/st/snw/detached.mp3"      ,"detached"                                            ,"C2"   ,"közömbös, közönyös; pártatlan"
"/st/snw/dry.mp3"           ,"dry"                                                 ,"C2"   ,"száraz, unalmas"
"/st/snw/electric.mp3"      ,"electric"                                            ,"C2"   ,"felvillanyozó; felvillanyozott"
"/st/snw/high.mp3"          ,"high"                                                ,"C2"   ,"feldobott, euforikus, kábult"
"/st/snw/immune.mp3"        ,"immune"                                              ,"C2"   ,"immunis, nem érzékeny vmire"
"/st/snw/indifferent.mp3"   ,"indifferent"                                         ,"C2"   ,"közönyös; középszerű"
"/st/snw/mechanical.mp3"    ,"mechanical"                                          ,"C2"   ,"gépies, mechanikus"
"/st/snk/r2892.mp3"         ,"tire of sth/sb/doing sth"                            ,"C2"   ,"beleun  vmibe/vkibe"
"/st/snk/r132.mp3"          ,"a breath of fresh air"                               ,"C2"   ,"egy kis friss levegő    vmibe/vkibe"
"/st/snk/r448.mp3"          ,"be a revelation"                                     ,"C2"   ,"felfedezés    vmibe/vkibe"
"/st/snk/r1478.mp3"         ,"hold your breath"                                    ,"C2"   ,"visszatartja a lélegzetét    vmibe/vkibe"
"/st/snk/r1507.mp3"         ,"in a rut"                                            ,"C2"   ,"taposómalom    vmibe/vkibe"
"/st/snk/r2997.mp3"         ,"weary of sth/sb"                                     ,"C2"   ,"belefáradt/beleunt    vmibe/vkibe"
"/st/snk/r3025.mp3"         ,"with bated breath"                                   ,"C2"   ,"lélegzet visszafojtva    vmibe/vkibe"
"/st/snw/favour.mp3"        ,"favour"                                              ,"C2"   ,"támogat, dönt vki/vmi mellett; kedvez vkinek"
"/st/snw/loathe.mp3"        ,"loathe"                                              ,"C2"   ,"utál vmit, irtózik vmitől; megvet, gyűlöl"
"/st/snw/disgust.mp3"       ,"disgust"                                             ,"C2"   ,"undor; felháborodás"
"/st/snw/loathing.mp3"      ,"loathing"                                            ,"C2"   ,"undor, utálat"
"/st/snw/off-putting.mp3"   ,"off-putting"                                         ,"C2"   ,"elkedvetlenítő; taszító, elriasztó"
"/st/snk/r238.mp3"          ,"a taste for sth"                                     ,"C2"   ,"szeretete/kedvelése  vminek   vmire/vmihez    vki/vmi"
"/st/snk/r320.mp3"          ,"anything/as/what/whatever, etc. you please"          ,"C2"   ,"amit/ahogy csak akar  vminek   vmire/vmihez    vki/vmi"
"/st/snk/r539.mp3"          ,"be in the mood for sth/to do sth"                    ,"C2"   ,"kedve van  vminek   vmire/vmihez    vki/vmi"
"/st/snk/r605.mp3"          ,"be revolted by sth"                                  ,"C2"   ,"undorít, visszataszít  vminek   vmire/vmihez    vki/vmi"
