"AUDIOFILE"               ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/catch.mp3"       ,"catch"                   ,"A2"   ,"megkap"
"/st/snw/hurt.mp3"        ,"hurt"                    ,"A2"   ,"fáj"
"/st/snw/body.mp3"        ,"body"                    ,"A2"   ,"holttest"
"/st/snw/cold.mp3"        ,"cold"                    ,"A2"   ,"nátha, megfázás"
"/st/snw/headache.mp3"    ,"headache"                ,"A2"   ,"fejfájás"
"/st/snw/pain.mp3"        ,"pain"                    ,"A2"   ,"fájdalom"
"/st/snw/stomach_ache.mp3","stomach ache"            ,"A2"   ,"gyomorfájás, hasfájás"
"/st/snw/temperature.mp3" ,"temperature"             ,"A2"   ,"testhőmérséklet"
"/st/snw/toothache.mp3"   ,"toothache"               ,"A2"   ,"fogfájás"
"/st/snw/dead.mp3"        ,"dead"                    ,"A2"   ,"halott"
"/st/snw/ill.mp3"         ,"ill"                     ,"A2"   ,"beteg"
"/st/snw/sick.mp3"        ,"sick"                    ,"A2"   ,"beteg"
"/st/snw/sick.mp3"        ,"sick"                    ,"A2"   ,"hányingere van, forog a gyomra"
"/st/snk/r470.mp3"        ,"be bad for sb/sth"       ,"A2"   ,"ártalmas  vkinek/vminek"
"/st/snk/r1414.mp3"       ,"have (got) a temperature","A2"   ,"láza van, lázas  vkinek/vminek"
"/st/snw/hurt.mp3"        ,"hurt"                    ,"A2"   ,"megsebesít; megsebesül"
"/st/snw/take.mp3"        ,"take"                    ,"A2"   ,"bevesz"
"/st/snw/accident.mp3"    ,"accident"                ,"A2"   ,"baleset"
"/st/snw/ambulance.mp3"   ,"ambulance"               ,"A2"   ,"mentőautó"
"/st/snw/chemist.mp3"     ,"chemist"                 ,"A2"   ,"gyógy- és illatszertár"
"/st/snw/danger.mp3"      ,"danger"                  ,"A2"   ,"veszély"
"/st/snw/dentist.mp3"     ,"dentist"                 ,"A2"   ,"fogorvos"
"/st/snw/fire.mp3"        ,"fire"                    ,"A2"   ,"tűz; tűzeset"
"/st/snw/medicine.mp3"    ,"medicine"                ,"A2"   ,"orvosság"
"/st/snw/nurse.mp3"       ,"nurse"                   ,"A2"   ,"ápolónő"
"/st/snw/careful.mp3"     ,"careful"                 ,"A2"   ,"gondos, figyelmes; óvatos"
"/st/snw/dangerous.mp3"   ,"dangerous"               ,"A2"   ,"veszélyes"
"/st/snw/safe.mp3"        ,"safe"                    ,"A2"   ,"biztonságos"
"/st/snk/r134.mp3"        ,"a broken arm/leg, etc."  ,"A2"   ,"törött kéz/láb/stb."
"/st/snk/r746.mp3"        ,"break your arm/leg, etc.","A2"   ,"eltöri a kezét/lábát/stb."
"/st/snk/r59.mp3"         ,"Help!"                   ,"A2"   ,"segítség!"
