"AUDIOFILE"                 ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/agree.mp3"         ,"agree"                            ,"B2"   ,"beleegyezik vmibe"
"/st/snw/cooperate.mp3"     ,"cooperate"                        ,"B2"   ,"együtt dolgozik vmin"
"/st/snw/cooperate.mp3"     ,"cooperate"                        ,"B2"   ,"együttműködik"
"/st/snw/interact.mp3"      ,"interact"                         ,"B2"   ,"közös tevékenységet folytat, együttműködik vkivel;  kölcsönhatással van egymásra"
"/st/snw/involve.mp3"       ,"involve"                          ,"B2"   ,"belevon vkit vmibe"
"/st/snw/obey.mp3"          ,"obey"                             ,"B2"   ,"engedelmeskedik"
"/st/snw/participate.mp3"   ,"participate"                      ,"B2"   ,"részt vesz"
"/st/snw/satisfy.mp3"       ,"satisfy"                          ,"B2"   ,"kielégít vmit/vkit, eleget tesz vminek"
"/st/snw/share.mp3"         ,"share"                            ,"B2"   ,"feloszt"
"/st/snw/cooperation.mp3"   ,"cooperation"                      ,"B2"   ,"együttműködés"
"/st/snw/involvement.mp3"   ,"involvement"                      ,"B2"   ,"közreműködés; belekeveredés, részesévé válás"
"/st/snw/volunteer.mp3"     ,"volunteer"                        ,"B2"   ,"önkéntes"
"/st/snw/willingness.mp3"   ,"willingness"                      ,"B2"   ,"hajlandóság"
"/st/snw/cooperative.mp3"   ,"cooperative"                      ,"B2"   ,"segítőkész, készséges"
"/st/snw/glad.mp3"          ,"glad"                             ,"B2"   ,"boldog"
"/st/snw/responsible.mp3"   ,"responsible"                      ,"B2"   ,"megbízható, felelős"
"/st/snw/happily.mp3"       ,"happily"                          ,"B2"   ,"boldogan, örömmel"
"/st/snw/readily.mp3"       ,"readily"                          ,"B2"   ,"készségesen, azonnal"
"/st/snw/willingly.mp3"     ,"willingly"                        ,"B2"   ,"készségesen"
"/st/snk/r600.mp3"          ,"be prepared to do sth"            ,"B2"   ,"hajlandó megtenni  vmit  vmiben vmibe vminek  vkinek  vkinek"
"/st/snk/r662.mp3"          ,"be/get involved (in/with sth)"    ,"B2"   ,"intenzíven részt vesz ; belekeveredik , részese lesz  vmit  vmiben vmibe vminek  vkinek  vkinek"
"/st/snk/r2036.mp3"         ,"on behalf of sb or on sb's behalf","B2"   ,"a nevében  vmit  vmiben vmibe vminek  vkinek  vkinek"
"/st/snk/r2636.mp3"         ,"take sb's place"                  ,"B2"   ,"átveszi a helyét  vmit  vmiben vmibe vminek  vkinek  vkinek"
"/st/snk/r2653.mp3"         ,"take turns or take it in turns"   ,"B2"   ,"felváltva/sorjában csinálnak  vmit  vmiben vmibe vminek  vkinek  vkinek"
"/st/snw/challenge.mp3"     ,"challenge"                        ,"B2"   ,"megkérdőjelez"
"/st/snw/decline.mp3"       ,"decline"                          ,"B2"   ,"visszautasít, udvariasan elhárít"
"/st/snw/defend.mp3"        ,"defend"                           ,"B2"   ,"véd, megvéd"
"/st/snw/object_verb.mp3"   ,"object"                           ,"B2"   ,"ellenez vmit; ellenvet"
"/st/snw/oppose.mp3"        ,"oppose"                           ,"B2"   ,"ellenez vmit"
"/st/snw/protest_verb.mp3"  ,"protest"                          ,"B2"   ,"tiltakozik; leghatározottabban állít, hangoztat"
"/st/snw/reject.mp3"        ,"reject"                           ,"B2"   ,"elutasít, visszautasít"
"/st/snw/defence.mp3"       ,"defence"                          ,"B2"   ,"védelem; védekezés"
"/st/snw/objection.mp3"     ,"objection"                        ,"B2"   ,"ellenvetés, tiltakozás"
"/st/snw/opponent.mp3"      ,"opponent"                         ,"B2"   ,"ellenfél"
"/st/snw/protest_noun.mp3"  ,"protest"                          ,"B2"   ,"tiltakozás, ellenkezés"
"/st/snw/unhelpful.mp3"     ,"unhelpful"                        ,"B2"   ,"nem segítőkész"
"/st/snw/unwilling.mp3"     ,"unwilling"                        ,"B2"   ,"vonakodó, nem hajlandó"
"/st/snk/r1280.mp3"         ,"get out of sth/doing sth"         ,"B2"   ,"kihúzza magát alól  vmi  vkit/vmit"
"/st/snk/r2944.mp3"         ,"turn down ↔ sb/sth"               ,"B2"   ,"visszautasít  vmi  vkit/vmit"
"/st/snk/r419.mp3"          ,"avoid doing sth"                  ,"B2"   ,"kitér elől, kivonja magát  vmi vmiből"
"/st/snw/assist.mp3"        ,"assist"                           ,"B2"   ,"segítséget nyújt, támogat"
"/st/snw/contribute.mp3"    ,"contribute"                       ,"B2"   ,"hozzájárul"
"/st/snw/sponsor.mp3"       ,"sponsor"                          ,"B2"   ,"támogat; szponzorál"
"/st/snw/support.mp3"       ,"support"                          ,"B2"   ,"támogat vkit"
"/st/snw/welcome.mp3"       ,"welcome"                          ,"B2"   ,"örömmel fogad vmit, üdvözöl vmit"
"/st/snw/assistance.mp3"    ,"assistance"                       ,"B2"   ,"segítség, támogatás"
"/st/snw/backup.mp3"        ,"backup"                           ,"B2"   ,"erősítés, támogatás"
"/st/snw/contribution.mp3"  ,"contribution"                     ,"B2"   ,"hozzájárulás, közreműködés"
"/st/snw/help.mp3"          ,"help"                             ,"B2"   ,"segítség"
"/st/snw/helper.mp3"        ,"helper"                           ,"B2"   ,"segítőtárs"
