"AUDIOFILE"                          ,"FOREIGNWORD"            ,"LEVEL","NATIVEWORD"
"/st/snw/examine.mp3"                ,"examine"                ,"C2"   ,"vizsgáztat, levizsgáztat vkit"
"/st/snw/instruct.mp3"               ,"instruct"               ,"C2"   ,"oktat, tanít, megtanít"
"/st/snw/lecture.mp3"                ,"lecture"                ,"C2"   ,"előadást tart"
"/st/snw/artificial_intelligence.mp3","artificial intelligence","C2"   ,"mesterséges intelligencia"
"/st/snw/astronomy.mp3"              ,"astronomy"              ,"C2"   ,"csillagászat, asztronómia"
"/st/snw/discipline.mp3"             ,"discipline"             ,"C2"   ,"tudományág; sportág"
"/st/snw/instruction.mp3"            ,"instruction"            ,"C2"   ,"tanítás, képzés"
"/st/snw/intellectual.mp3"           ,"intellectual"           ,"C2"   ,"értelmiségi, entellektüel"
"/st/snw/law.mp3"                    ,"law"                    ,"C2"   ,"törvény,  szabály"
"/st/snw/orientation.mp3"            ,"orientation"            ,"C2"   ,"felkészítés, eligazítás"
"/st/snw/schooling.mp3"              ,"schooling"              ,"C2"   ,"iskoláztatás; iskolázottság"
"/st/snw/syllabus.mp3"               ,"syllabus"               ,"C2"   ,"tanmenet"
"/st/snw/territory.mp3"              ,"territory"              ,"C2"   ,"terület, felségterület"
"/st/snw/theory.mp3"                 ,"theory"                 ,"C2"   ,"elmélet"
"/st/snw/thesis.mp3"                 ,"thesis"                 ,"C2"   ,"tétel, tantétel, tézis"
"/st/snw/thinker.mp3"                ,"thinker"                ,"C2"   ,"gondolkodó"
"/st/snw/track.mp3"                  ,"track"                  ,"C2"   ,"pálya"
"/st/snw/academic.mp3"               ,"academic"               ,"C2"   ,"jó tanuló/felfogású"
"/st/snw/ahead.mp3"                  ,"ahead"                  ,"C2"   ,"előtte levő"
"/st/snw/philosophical.mp3"          ,"philosophical"          ,"C2"   ,"filozófiai"
"/st/snw/residential.mp3"            ,"residential"            ,"C2"   ,"bentlakásos"
"/st/snw/theoretical.mp3"            ,"theoretical"            ,"C2"   ,"elméleti"
"/st/snw/vocational.mp3"             ,"vocational"             ,"C2"   ,"szakmai"
"/st/snw/theoretically.mp3"          ,"theoretically"          ,"C2"   ,"elméletileg, elvileg"
"/st/snk/r306.mp3"                   ,"an authority on sth"    ,"C2"   ,"szaktekintély  vmiben"
