"AUDIOFILE"                ,"FOREIGNWORD"                              ,"LEVEL","NATIVEWORD"
"/st/snw/contrast_verb.mp3","contrast"                                 ,"C2"   ,"szembeállít vmivel"
"/st/snw/deepen.mp3"       ,"deepen"                                   ,"C2"   ,"mélyít; mélyül"
"/st/snw/intensify.mp3"    ,"intensify"                                ,"C2"   ,"erősödik, fokozódik; felerősít, fokoz"
"/st/snw/rage.mp3"         ,"rage"                                     ,"C2"   ,"dühöng, tombol, dúl"
"/st/snw/sharpen.mp3"      ,"sharpen"                                  ,"C2"   ,"felerősít; feljavít"
"/st/snw/depth.mp3"        ,"depth"                                    ,"C2"   ,"mélység"
"/st/snw/intensity.mp3"    ,"intensity"                                ,"C2"   ,"hevesség, intenzitás"
"/st/snw/measure.mp3"      ,"measure"                                  ,"C2"   ,"mérték"
"/st/snw/severity.mp3"     ,"severity"                                 ,"C2"   ,"súlyosság; keménység"
"/st/snw/violence.mp3"     ,"violence"                                 ,"C2"   ,"hevesség"
"/st/snw/dead.mp3"         ,"dead"                                     ,"C2"   ,"halotti, teljes, abszolút"
"/st/snw/extreme.mp3"      ,"extreme"                                  ,"C2"   ,"szélsőséges"
"/st/snw/irresistible.mp3" ,"irresistible"                             ,"C2"   ,"leküzdhetetlen, ellenállhatatlan"
"/st/snw/relentless.mp3"   ,"relentless"                               ,"C2"   ,"hajthatatlan; könyörtelen"
"/st/snw/stern.mp3"        ,"stern"                                    ,"C2"   ,"komor, zord"
"/st/snw/tough.mp3"        ,"tough"                                    ,"C2"   ,"kemény, szigorú"
"/st/snw/violent.mp3"      ,"violent"                                  ,"C2"   ,"heves"
"/st/snw/right.mp3"        ,"right"                                    ,"C2"   ,"egészen"
"/st/snw/vitally.mp3"      ,"vitally"                                  ,"C2"   ,"életbe vágóan"
"/st/snw/wholly.mp3"       ,"wholly"                                   ,"C2"   ,"teljes mértékben"
"/st/snw/insofar_as.mp3"   ,"insofar as"                               ,"C2"   ,"amennyire"
"/st/snk/r293.mp3"         ,"all the better/easier/more exciting, etc.","C2"   ,"még/annál inkább jobb/könnyebb/izgalmasabb, stb.           vmihez"
"/st/snk/r377.mp3"         ,"at best"                                  ,"C2"   ,"legjobb esetben           vmihez"
"/st/snk/r1048.mp3"        ,"draw a comparison/distinction"            ,"C2"   ,"összehasonlítást/különbséget tesz/von           vmihez"
"/st/snk/r1074.mp3"        ,"easily the best/worst/biggest, etc."      ,"C2"   ,"vitán felül a legjobb/legrosszabb/legnagyobb/stb.           vmihez"
"/st/snk/r1234.mp3"        ,"from top to bottom"                       ,"C2"   ,"tetőtől talpig           vmihez"
"/st/snk/r1798.mp3"        ,"like hell"                                ,"C2"   ,"mint egy őrült           vmihez"
"/st/snk/r1806.mp3"        ,"little more/better"                       ,"C2"   ,"nem sokkal több/jobb           vmihez"
"/st/snk/r1968.mp3"        ,"none the happier/poorer/wiser, etc."      ,"C2"   ,"semmivel sem boldogabb/szegényebb/bölcsebb/stb.           vmihez"
"/st/snk/r2126.mp3"        ,"over the top"                             ,"C2"   ,"eltúlzott           vmihez"
"/st/snk/r2290.mp3"        ,"relative to sth"                          ,"C2"   ,"viszonyítva           vmihez"
"/st/snk/r2725.mp3"        ,"the extent to which"                      ,"C2"   ,"milyen mértékben           vmihez"
"/st/snw/forceful.mp3"     ,"forceful"                                 ,"C2"   ,"nagy hatású"
"/st/snw/foremost.mp3"     ,"foremost"                                 ,"C2"   ,"legkiválóbb; legfontosabb, legelső"
"/st/snw/formidable.mp3"   ,"formidable"                               ,"C2"   ,"félelmetes"
"/st/snw/heavy.mp3"        ,"heavy"                                    ,"C2"   ,"erős"
"/st/snw/infinite.mp3"     ,"infinite"                                 ,"C2"   ,"végtelen, határtalan, kimeríthetetlen"
"/st/snw/phenomenal.mp3"   ,"phenomenal"                               ,"C2"   ,"óriási méretű, fenomenális"
"/st/snw/profound.mp3"     ,"profound"                                 ,"C2"   ,"mély, mélységes"
"/st/snw/stiff.mp3"        ,"stiff"                                    ,"C2"   ,"erős, kemény"
"/st/snw/unimaginable.mp3" ,"unimaginable"                             ,"C2"   ,"elképzelhetetlen"
"/st/snw/fundamentally.mp3","fundamentally"                            ,"C2"   ,"alapvetően, lényegét tekintve"
"/st/snw/infinitely.mp3"   ,"infinitely"                               ,"C2"   ,"végtelenül, sokkal"
"/st/snw/intensely.mp3"    ,"intensely"                                ,"C2"   ,"igen nagy mértékben, nagyon"
"/st/snw/profoundly.mp3"   ,"profoundly"                               ,"C2"   ,"mélyen, mélységesen ; mélyrehatóan"
"/st/snw/relentlessly.mp3" ,"relentlessly"                             ,"C2"   ,"hajthatatlanul; könyörtelenül"
"/st/snw/wildly.mp3"       ,"wildly"                                   ,"C2"   ,"őrülten"
"/st/snk/r202.mp3"         ,"a profound effect/impact/influence, etc." ,"C2"   ,"mély/mélységes hatás/kihatás/befolyás/stb."
"/st/snk/r254.mp3"         ,"a/one hell of a"                          ,"C2"   ,"pokoli/pokolian"
"/st/snk/r706.mp3"         ,"beyond belief"                            ,"C2"   ,"hihetetlenül"
"/st/snk/r1095.mp3"        ,"ever such a"                              ,"C2"   ,"annyira, nagyon"
"/st/snk/r1502.mp3"        ,"in a big way"                             ,"C2"   ,"nagymértékben"
"/st/snk/r2750.mp3"        ,"the height of sth"                        ,"C2"   ,"csúcspont, tetőfok, tetőpont"
"/st/snw/moderate_verb.mp3","moderate"                                 ,"C2"   ,"mérsékel; mérséklődik"
"/st/snw/narrow.mp3"       ,"narrow"                                   ,"C2"   ,"szűk"
"/st/snw/remote.mp3"       ,"remote"                                   ,"C2"   ,"halvány"
"/st/snw/subtle.mp3"       ,"subtle"                                   ,"C2"   ,"finom"
"/st/snw/superficial.mp3"  ,"superficial"                              ,"C2"   ,"felszínes, nagyjából vett"
"/st/snw/merely.mp3"       ,"merely"                                   ,"C2"   ,"csupán, csak"
"/st/snw/moderately.mp3"   ,"moderately"                               ,"C2"   ,"mérsékelten"
"/st/snw/predominantly.mp3","predominantly"                            ,"C2"   ,"túlnyomóan"
"/st/snw/superficially.mp3","superficially"                            ,"C2"   ,"felszínesen, felszínét tekintve; felületesen"
"/st/snk/r190.mp3"         ,"a matter of days/weeks/feet etc."         ,"C2"   ,"mindössze napok/hetek/egy láb/stb.    vmi"
"/st/snk/r256.mp3"         ,"a/some degree of sth"                     ,"C2"   ,"bizonyos fokú/mértékű    vmi"
"/st/snk/r280.mp3"         ,"all but"                                  ,"C2"   ,"majdnem, csaknem    vmi"
"/st/snk/r931.mp3"         ,"comparative comfort/freedom/silence, etc.","C2"   ,"viszonylagos kényelem/szabadság/csönd/stb.    vmi"
"/st/snk/r1565.mp3"        ,"in part"                                  ,"C2"   ,"részben    vmi"
"/st/snk/r1969.mp3"        ,"none too clean/clever/pleased, etc."      ,"C2"   ,"egyáltalán nem tiszta/okos/elégedett/stb.    vmi"
