"AUDIOFILE"                 ,"FOREIGNWORD"                                   ,"LEVEL","NATIVEWORD"
"/st/snw/alarm.mp3"         ,"alarm"                                         ,"C1"   ,"megrémít"
"/st/snw/overwhelm.mp3"     ,"overwhelm"                                     ,"C1"   ,"eláraszt, elönt ; legyőz, fölébe kerekedik vkinek"
"/st/snw/scare.mp3"         ,"scare"                                         ,"C1"   ,"megrémít; megijed"
"/st/snw/distress.mp3"      ,"distress"                                      ,"C1"   ,"kétségbeesés; kín"
"/st/snw/fright.mp3"        ,"fright"                                        ,"C1"   ,"ijedség, rémület"
"/st/snw/scar.mp3"          ,"scar"                                          ,"C1"   ,"lelki sérülés; nyom"
"/st/snw/sensitivity.mp3"   ,"sensitivity"                                   ,"C1"   ,"érzékenység, kényesség"
"/st/snw/alarming.mp3"      ,"alarming"                                      ,"C1"   ,"ijesztő"
"/st/snw/distressed.mp3"    ,"distressed"                                    ,"C1"   ,"kétségbeesett, csüggedt"
"/st/snw/hysterical.mp3"    ,"hysterical"                                    ,"C1"   ,"hisztérikus"
"/st/snw/sensational.mp3"   ,"sensational"                                   ,"C1"   ,"szenzációs, feltűnést keltő"
"/st/snw/speechless.mp3"    ,"speechless"                                    ,"C1"   ,"elnémult"
"/st/snk/r910.mp3"          ,"come over sb"                                  ,"C1"   ,"elfog  vmi vkit"
"/st/snk/r2379.mp3"         ,"scare away/off ↔ sb"                           ,"C1"   ,"elijeszt  vmi vkit"
"/st/snk/r2380.mp3"         ,"scare away/off ↔ sb/sth"                       ,"C1"   ,"elijeszt  vmi vkit"
"/st/snk/r177.mp3"          ,"a hot issue/topic"                             ,"C1"   ,"forró téma/kérdés      vkinek  vkinek"
"/st/snk/r762.mp3"          ,"bubble (over) with confidence/enthusiasm, etc.","C1"   ,"boldogan sugárzik a reménytől/lelkesedéstől/stb.      vkinek  vkinek"
"/st/snk/r827.mp3"          ,"capture sb's attention/ imagination/ interest" ,"C1"   ,"megragadja/felkelti a figyelmét/képzeletét/érdeklődését      vkinek  vkinek"
"/st/snk/r983.mp3"          ,"deadly dull/serious, etc."                     ,"C1"   ,"halálosan unalmas/komoly/stb.      vkinek  vkinek"
"/st/snk/r1388.mp3"         ,"grab sb's attention"                           ,"C1"   ,"megragadja a figyelmét      vkinek  vkinek"
"/st/snk/r1474.mp3"         ,"hold sb's attention/interest"                  ,"C1"   ,"leköti a figyelmét/érdeklődését      vkinek  vkinek"
"/st/snk/r1634.mp3"         ,"in your heart"                                 ,"C1"   ,"szíve legmélyén      vkinek  vkinek"
"/st/snw/irritate.mp3"      ,"irritate"                                      ,"C1"   ,"ingerel, felingerel, bosszant, felbosszant; irritál"
"/st/snw/reassure.mp3"      ,"reassure"                                      ,"C1"   ,"megnyugtat vkit , biztosít vkit vmiről"
"/st/snw/sacrifice.mp3"     ,"sacrifice"                                     ,"C1"   ,"feláldoz vmit vmiért ;  áldozatot mutat be"
"/st/snw/stand.mp3"         ,"stand"                                         ,"C1"   ,"elvisel vmit"
"/st/snw/annoyance.mp3"     ,"annoyance"                                     ,"C1"   ,"bosszúság, bosszankodás; bosszantás"
"/st/snw/burden.mp3"        ,"burden"                                        ,"C1"   ,"teher, megterhelés"
"/st/snw/disturbance.mp3"   ,"disturbance"                                   ,"C1"   ,"zavar, zavaró körülmény"
"/st/snw/fuss.mp3"          ,"fuss"                                          ,"C1"   ,"rumli, nagy felhajtás"
"/st/snw/liability.mp3"     ,"liability"                                     ,"C1"   ,"tehertétel"
"/st/snw/nervousness.mp3"   ,"nervousness"                                   ,"C1"   ,"idegesség, izgatottság"
"/st/snw/sacrifice.mp3"     ,"sacrifice"                                     ,"C1"   ,"áldozat"
"/st/snw/torture.mp3"       ,"torture"                                       ,"C1"   ,"kínlódás, gyötrelem"
"/st/snw/cool.mp3"          ,"cool"                                          ,"C1"   ,"nyugodt, higgadt"
"/st/snw/hostile.mp3"       ,"hostile"                                       ,"C1"   ,"ellenséges"
"/st/snw/reassuring.mp3"    ,"reassuring"                                    ,"C1"   ,"megnyugtató"
"/st/snw/restless.mp3"      ,"restless"                                      ,"C1"   ,"nyugtalan"
"/st/snw/self-conscious.mp3","self-conscious"                                ,"C1"   ,"feszélyezett, zavart"
"/st/snw/uncomfortable.mp3" ,"uncomfortable"                                 ,"C1"   ,"kínos"
"/st/snw/uncomfortably.mp3" ,"uncomfortably"                                 ,"C1"   ,"kellemetlenül; kínosan"
"/st/snk/r443.mp3"          ,"be a pain in the neck"                         ,"C1"   ,"kellemetlen     vkit"
"/st/snk/r1430.mp3"         ,"have had enough"                               ,"C1"   ,"elege van     vkit"
"/st/snk/r1949.mp3"         ,"nerves"                                        ,"C1"   ,"idegesség     vkit"
"/st/snk/r2252.mp3"         ,"put/set sb's mind at ease/at rest"             ,"C1"   ,"megnyugtat     vkit"
"/st/snw/concern.mp3"       ,"concern"                                       ,"C1"   ,"aggaszt, nyugtalanít vkit"
"/st/snw/desire.mp3"        ,"desire"                                        ,"C1"   ,"vágyik vmire"
"/st/snw/fascinate.mp3"     ,"fascinate"                                     ,"C1"   ,"lebilincsel"
"/st/snw/outrage.mp3"       ,"outrage"                                       ,"C1"   ,"dühít, felháborít"
"/st/snw/worship.mp3"       ,"worship"                                       ,"C1"   ,"imád vkit, rajong vkiért"
"/st/snw/comfort.mp3"       ,"comfort"                                       ,"C1"   ,"kényelem"
"/st/snw/complaint.mp3"     ,"complaint"                                     ,"C1"   ,"panasz"
"/st/snw/discomfort.mp3"    ,"discomfort"                                    ,"C1"   ,"kényelmetlenség"
"/st/snw/discontent.mp3"    ,"discontent"                                    ,"C1"   ,"elégedetlenség"
"/st/snw/fascination.mp3"   ,"fascination"                                   ,"C1"   ,"elragadtatás; vonzerő, vonzereje vminek"
"/st/snw/hate.mp3"          ,"hate"                                          ,"C1"   ,"gyűlölet"
